Date current as of 9/27/21,,,,,,,,
,,,,,,,,
CAMPUS,Payer/Plan Name,DRG/CPT/HCPCS Code,DRG/CPT/HCPCS Description,Gross Charge,Discounted Cash Price,Negotiated Rate,Min Negotiated Rate,Max Negotiated Rate
NYEE,AETNA AETNA OPEN ACCESS  ELECT CHOICE NET 01344,857,"Postoperative or post-traumatic infections with O.R.
procedures with CC",Not Applicable,100% of Medicare,25874,25874,25874
NYEE,AETNA AEXCEL  PLUS AETNA CHOICE  POS II NET 00357,876,O.R. procedures with principal diagnosis of mental illness,Not Applicable,100% of Medicare,27848,15051,113102
NYEE,UNITEDHEALTHCARE INSURANCE COMPANY AND ITS AFFILIATES CHARTER,876,O.R. procedures with principal diagnosis of mental illness,Not Applicable,100% of Medicare,66097,15051,113102
NYEE,"CAPITAL DISTRICT PHYSICIANS' HEALTH PLAN, INC",876,O.R. procedures with principal diagnosis of mental illness,Not Applicable,100% of Medicare,94460,15051,113102
NYEE,UNITEDHEALTHCARE SERVICES INC AND ITS AFFILIATES AARP MEDICARE ADVANTAGE PLAN 2,876,O.R. procedures with principal diagnosis of mental illness,Not Applicable,100% of Medicare,73531,15051,113102
NYEE,EH FACET EFT,876,O.R. procedures with principal diagnosis of mental illness,Not Applicable,100% of Medicare,50956,15051,113102
NYEE,AETNA AETNA OPEN ACCESS  MANAGED CHOICE NET 02100,876,O.R. procedures with principal diagnosis of mental illness,Not Applicable,100% of Medicare,60571,15051,113102
NYEE,AETNA OPEN CHOICE NET 00391,876,O.R. procedures with principal diagnosis of mental illness,Not Applicable,100% of Medicare,45733,15051,113102
NYEE,AETNA OPEN ACCESS AETNA SELECT  8480 NET 01344,876,O.R. procedures with principal diagnosis of mental illness,Not Applicable,100% of Medicare,15051,15051,113102
NYEE,"EMPIRE HEALTHCHOICE ASSURANCE, INC.",876,O.R. procedures with principal diagnosis of mental illness,Not Applicable,100% of Medicare,49610,15051,113102
NYEE,METROPLUS HEALTH PLAN,876,O.R. procedures with principal diagnosis of mental illness,Not Applicable,100% of Medicare,113102,15051,113102
NYEE,UNITEDHEALTHCARE INSURANCE COMPANY AND ITS AFFILIATES CHOYC+,876,O.R. procedures with principal diagnosis of mental illness,Not Applicable,100% of Medicare,55916,15051,113102
NYEE,AETNA AETNA OPEN ACCESS  ELECT CHOICE NET 01344,876,O.R. procedures with principal diagnosis of mental illness,Not Applicable,100% of Medicare,55083,15051,113102
NYEE,AETNA PREMIER PPO NET 03397,876,O.R. procedures with principal diagnosis of mental illness,Not Applicable,100% of Medicare,93270,15051,113102
NYEE,OXFORD HEALTH PLANS CT INC FREEDOM,876,O.R. procedures with principal diagnosis of mental illness,Not Applicable,100% of Medicare,82459,15051,113102
NYEE,AETNA AETNA CHOICE  POS II NET 00357,876,O.R. procedures with principal diagnosis of mental illness,Not Applicable,100% of Medicare,63774,15051,113102
NYEE,AETNA MANAGED CHOICE  POS NET 00357,876,O.R. procedures with principal diagnosis of mental illness,Not Applicable,100% of Medicare,63266,15051,113102
NYEE,AETNA AETNA OPEN ACCESS  MANAGED CHOICE NET 00357,876,O.R. procedures with principal diagnosis of mental illness,Not Applicable,100% of Medicare,61627,15051,113102
NYEE,AETNA AETNA HEALTHFUND  AETNA CHOICE  POS II NET 00357,876,O.R. procedures with principal diagnosis of mental illness,Not Applicable,100% of Medicare,62382,15051,113102
NYEE,AETNA AETNA OPEN ACCESS  MANAGED CHOICE NET 08134,876,O.R. procedures with principal diagnosis of mental illness,Not Applicable,100% of Medicare,57555,15051,113102
NYEE,AETNA AETNA HEALTHFUND  AETNA OPEN ACCESS  MAN NET 00357,876,O.R. procedures with principal diagnosis of mental illness,Not Applicable,100% of Medicare,31680,15051,113102
NYEE,UNITEDHEALTHCARE INSURANCE COMPANY AND ITS AFFILIATES CHOYC+,887,Other mental disorder diagnoses,Not Applicable,100% of Medicare,16823,16823,16823
NYEE,AETNA OPEN ACCESS ELITE HMO NET 02043,983,"Extensive O.R. procedures unrelated to principal diagnosis
without CC/MCC*",Not Applicable,100% of Medicare,41250,20139,41250
NYEE,EMPIRE HEALTHCHOICE HMO,983,"Extensive O.R. procedures unrelated to principal diagnosis
without CC/MCC*",Not Applicable,100% of Medicare,22133,20139,41250
NYEE,UNITEDHEALTHCARE INSURANCE COMPANY AND ITS AFFILIATES CHARTER,983,"Extensive O.R. procedures unrelated to principal diagnosis
without CC/MCC*",Not Applicable,100% of Medicare,37680,20139,41250
NYEE,UNITEDHEALTHCARE INSURANCE COMPANY AND ITS AFFILIATES CHOYC+,983,"Extensive O.R. procedures unrelated to principal diagnosis
without CC/MCC*",Not Applicable,100% of Medicare,26428,20139,41250
NYEE,AETNA AETNA CHOICE  POS II NET 00357,983,"Extensive O.R. procedures unrelated to principal diagnosis
without CC/MCC*",Not Applicable,100% of Medicare,20139,20139,41250
NYEE,UNITEDHEALTHCARE OF NEW YORK INC NY COMMUNITY PLAN FOR FAMILIES TRANS WITH BH,10005,FNA BX W/US GUIDANCE 1ST LESION,2680.91,$754.08 ,393.95,393.95,2983.5
NYEE,AETNA AETNA OPEN ACCESS  ELECT CHOICE NET 01344,10005,FNA BX W/US GUIDANCE 1ST LESION,2680.91,$754.08 ,414.4,393.95,2983.5
NYEE,AETNA OPEN ACCESS AETNA SELECT  8480 NET 01344,10005,FNA BX W/US GUIDANCE 1ST LESION,2680.91,$754.08 ,414.4,393.95,2983.5
NYEE,NYSDOH,10005,FNA BX W/US GUIDANCE 1ST LESION,2680.91,$754.08 ,517.2,393.95,2983.5
NYEE,"HEALTHPLUS HP, LLC HEALTHPLUS MEDICAID",10005,FNA BX W/US GUIDANCE 1ST LESION,2680.91,$754.08 ,538.7,393.95,2983.5
NYEE,METROPLUS HEALTH PLAN,10005,FNA BX W/US GUIDANCE 1ST LESION,2680.91,$754.08 ,545.64,393.95,2983.5
NYEE,FIDELIS CARE NEW YORK NEW YORK MEDICAID,10005,FNA BX W/US GUIDANCE 1ST LESION,2680.91,$754.08 ,556.78,393.95,2983.5
NYEE,METROPLUS ESSENTIAL PLAN,10005,FNA BX W/US GUIDANCE 1ST LESION,2680.91,$754.08 ,556.78,393.95,2983.5
NYEE,UNITEDHEALTHCARE OF NEW YORK INC NY COMMUNITY PLAN FOR FAMILIES WITH BH,10005,FNA BX W/US GUIDANCE 1ST LESION,2680.91,$754.08 ,556.78,393.95,2983.5
NYEE,WELLCARE OF NEW YORK INC,10005,FNA BX W/US GUIDANCE 1ST LESION,2680.91,$754.08 ,590.68,393.95,2983.5
NYEE,"HEALTHPLUS HP, LLC HEALTHPLUS ESSENTIAL PLAN",10005,FNA BX W/US GUIDANCE 1ST LESION,2680.91,$754.08 ,654.66,393.95,2983.5
NYEE,UNITEDHEALTHCARE SERVICES INC AND ITS AFFILIATES AARP MEDICARECOMPLETE MOSAIC,10005,FNA BX W/US GUIDANCE 1ST LESION,2680.91,$754.08 ,670.84,393.95,2983.5
NYEE,EH FACET EFT,10005,FNA BX W/US GUIDANCE 1ST LESION,2680.91,$754.08 ,714.91,393.95,2983.5
NYEE,"WELLCARE OF NEW YORK, INC",10005,FNA BX W/US GUIDANCE 1ST LESION,2680.91,$754.08 ,725.25,393.95,2983.5
NYEE,UNITEDHEALTHCARE OF NEW YORK INC NY DUAL COMPLETE,10005,FNA BX W/US GUIDANCE 1ST LESION,2680.91,$754.08 ,759.93,393.95,2983.5
NYEE,FIDELIS CARE NEW YORK-EXCHANGES NY EXCHANGES NETWORK,10005,FNA BX W/US GUIDANCE 1ST LESION,2680.91,$754.08 ,812.93,393.95,2983.5
NYEE,AETNA AETNA OPEN ACCESS  MANAGED CHOICE NET 00357,10005,FNA BX W/US GUIDANCE 1ST LESION,2680.91,$754.08 ,1074.37,393.95,2983.5
NYEE,GROUP HEALTH INC,10005,FNA BX W/US GUIDANCE 1ST LESION,2680.91,$754.08 ,1329.61,393.95,2983.5
NYEE,BCBS FEP,10005,FNA BX W/US GUIDANCE 1ST LESION,2680.91,$754.08 ,2983.5,393.95,2983.5
NYEE,BCBS FEP,10006,FNA BX W/US GUIDANCE EA ADDL,218.1,100% of Medicare,672.36,34.85,672.36
NYEE,GROUP HEALTH INC,10006,FNA BX W/US GUIDANCE EA ADDL,218.1,100% of Medicare,81.79,34.85,672.36
NYEE,UNITEDHEALTHCARE OF NEW YORK INC NY COMMUNITY PLAN FOR FAMILIES TRANS WITH BH,10006,FNA BX W/US GUIDANCE EA ADDL,218.1,100% of Medicare,35.05,34.85,672.36
NYEE,UNITEDHEALTHCARE OF NEW YORK INC NY COMMUNITY PLAN FOR FAMILIES WITH BH,10006,FNA BX W/US GUIDANCE EA ADDL,218.1,100% of Medicare,34.85,34.85,672.36
NYEE,"HEALTHPLUS HP, LLC HEALTHPLUS MEDICAID",10021,"FNA WO GUIDANCE, 1ST LESION",1404.19,$419.30 ,517.2,517.2,517.2
NYEE,FIDELIS CARE NEW YORK ESSENTIAL PLAN - ALIESSA,10060,INCISION/DRAIN ABSCESS SIMPLE,767.92,$217.69 ,368.11,368.11,368.11
NYEE,FIDELIS CARE NEW YORK NEW YORK MEDICAID,10060,I&D ABSC; SMPL OR SGL,767.92,$217.69 ,368.11,368.11,368.11
NYEE,UNITEDHEALTHCARE INSURANCE COMPANY AND ITS AFFILIATES CHARTER,11043,"Debridement of fascia, first 20.0 sq cm or less",Not Applicable,100% of Medicare,2625,2625,2625
NYEE,UNITEDHEALTHCARE OF NEW YORK INC NY DUAL COMPLETE,11310,"Shaving of single dermal lesion of ear, 0.5 cm or less",Not Applicable,100% of Medicare,155.51,155.51,155.515
NYEE,AETNA OPEN CHOICE NET 00391,11401,"Excision of benign lesion of arm, 0.6-1.0 cm",Not Applicable,100% of Medicare,332.87,332.87,332.87
NYEE,FIDELIS CARE NEW YORK-EXCHANGES NY EXCHANGES NETWORK,11406,"Excision of benign lesion of arm, including margins, more than 4.0 cm",Not Applicable,100% of Medicare,4035.55,4035.55,4654
NYEE,UNITEDHEALTHCARE INSURANCE COMPANY AND ITS AFFILIATES CHOYC+,11406,"Excision of benign lesion of arm, including margins, more than 4.0 cm",Not Applicable,100% of Medicare,4654,4035.55,4654
NYEE,AFFINITY HEALTH PLAN,11426,"Excision of benign lesion of foot, including margins, more than 4.0 cm",Not Applicable,100% of Medicare,2561.14,1162.25,2561.14
NYEE,EMPIRE HEALTHCHOICE ASSURANCE,11426,"Excision of benign lesion of foot, including margins, more than 4.0 cm",Not Applicable,100% of Medicare,1162.25,1162.25,2561.14
NYEE,AETNA AETNA CHOICE  POS II NET 00357,11440,EXC FACE-MM B9+MARG 0.5<CM,2680.91,$754.08 ,1417.55,499.08,3264
NYEE,AFFINITY HEALTH PLAN,11440,EXC FACE-MM B9+MARG 0.5<CM,2680.91,$754.08 ,679.07,499.08,3264
NYEE,BCBS FEP,11440,EXC FACE-MM B9+MARG 0.5<CM,2680.91,$754.08 ,3264,499.08,3264
NYEE,FIDELIS CARE NEW YORK CHILD HEALTH PLUS NETWORK,11440,EXC FACE-MM B9+MARG 0.5<CM,2680.91,$754.08 ,787.77,499.08,3264
NYEE,FIDELIS CARE NEW YORK ESSENTIAL PLAN - ALIESSA,11440,EXC FACE-MM B9+MARG 0.5<CM,2680.91,$754.08 ,640.63,499.08,3264
NYEE,"HEALTHPLUS HP, LLC HEALTHPLUS MEDICAID",11440,EXC FACE-MM B9+MARG 0.5<CM,2680.91,$754.08 ,499.08,499.08,3264
NYEE,METROPLUS HEALTH PLAN,11440,EXC FACE-MM B9+MARG 0.5<CM,2680.91,$754.08 ,772.01,499.08,3264
NYEE,FIDELIS CARE NEW YORK NEW YORK MEDICAID,11441,REM BEN LES FFC/E/L/L0.6-1.0CM,2680.91,$754.08 ,665.13,665.13,2739.13
NYEE,"HEALTHPLUS HP, LLC HEALTHPLUS MEDICAID",11441,REM BEN LES FFC/E/L/L0.6-1.0CM,2680.91,$754.08 ,680.21,665.13,2739.13
NYEE,UNITEDHEALTHCARE INSURANCE COMPANY AND ITS AFFILIATES CHOYC+,11441,REM BEN LES FFC/E/L/L0.6-1.0CM,2680.91,$754.08 ,2739.13,665.13,2739.13
NYEE,AETNA AETNA CHOICE  POS II NET 00357,11442,EXCISION BENIGN LESION 1.1-2CM,2680.91,$754.08 ,5218.39,715.6,5218.39
NYEE,FIDELIS CARE NEW YORK NEW YORK MEDICAID,11442,EXCISION BENIGN LESION 1.1-2CM,2680.91,$754.08 ,715.6,715.6,5218.39
NYEE,AETNA AETNA CHOICE  POS II NET 00357,11443,EXC FACE-MM B9+MARG 2.1-3 CM,6032.36,"$1,705.85 ",2359.78,1769.49,2359.785
NYEE,FIDELIS CARE NEW YORK-EXCHANGES NY EXCHANGES NETWORK,11443,EXC FACE-MM B9+MARG 2.1-3 CM,6032.36,"$1,705.85 ",1769.49,1769.49,2359.785
NYEE,FIDELIS CARE NEW YORK NEW YORK MEDICAID,11900,"INJECTION,INTRALESIONAL TO 7",767.92,$217.69 ,354.68,354.68,354.68
NYEE,AFFINITY HEALTH PLAN,12001,SMPL RPR SCLP NK EXTRM 2.5CM<,767.92,$217.69 ,524.39,524.39,524.39
NYEE,EVOLUTION HEALTHCARE AETNA,12037,"Intermediate repair of wound of axilla, more than 30.0 cm",Not Applicable,100% of Medicare,6962.5,6962.5,6962.5
NYEE,FIDELIS CARE NEW YORK NEW YORK MEDICAID,12042,"Intermediate repair of wound of external genitalia, 2.6-7.5 cm",Not Applicable,100% of Medicare,719.61,719.61,719.61
NYEE,AETNA OPEN CHOICE NET 00391,12051,"CLOSE,FACE,EARS,LIDS 2.5CM/LES",1404.19,$419.30 ,2834.48,2834.48,2834.48
NYEE,"HEALTHPLUS HP, LLC HEALTHPLUS MEDICAID",12054,"Intermediate repair of wound of ear, 7.6-12.5 cm",Not Applicable,100% of Medicare,372.17,372.17,372.17
NYEE,AETNA OPEN ACCESS AETNA SELECT  8480 NET 01344,13101,"Complex repair of trunk, 2.6-7.5 cm",Not Applicable,100% of Medicare,4524.43,1312.5,4524.43
NYEE,AETNA OPEN CHOICE NET 00391,13101,"Complex repair of trunk, 2.6-7.5 cm",Not Applicable,100% of Medicare,2365.27,1312.5,4524.43
NYEE,EMPIRE HEALTHCHOICE ASSURANCE,13101,"Complex repair of trunk, 2.6-7.5 cm",Not Applicable,100% of Medicare,2905,1312.5,4524.43
NYEE,UNITEDHEALTHCARE INSURANCE COMPANY AND ITS AFFILIATES CHOYC+,13101,"Complex repair of trunk, 2.6-7.5 cm",Not Applicable,100% of Medicare,1312.5,1312.5,4524.43
NYEE,AETNA OPEN CHOICE NET 00391,13102,"Complex repair of trunk, each additional 5.0 cm or less",Not Applicable,100% of Medicare,1182.63,656.25,1182.63
NYEE,UNITEDHEALTHCARE INSURANCE COMPANY AND ITS AFFILIATES CHOYC+,13102,"Complex repair of trunk, each additional 5.0 cm or less",Not Applicable,100% of Medicare,656.25,656.25,1182.63
NYEE,UNITEDHEALTHCARE OF NEW YORK INC NY COMMUNITY PLAN FOR KIDS,13121,"Complex repair of arm, 2.6-7.5 cm",Not Applicable,100% of Medicare,448.03,448.03,448.03
NYEE,UNITEDHEALTHCARE OF NEW YORK INC NY COMMUNITY PLAN FOR KIDS,13122,"Complex repair of arm, each additional 5.0 cm or less",Not Applicable,100% of Medicare,166.16,166.16,166.16
NYEE,METROPLUS HEALTH PLAN,13131,"COMPLEX REPAIR,CHK,MTH <2.5CM",1404.19,$419.30 ,309.01,309.01,309.01
NYEE,EH FACET EFT,13132,"Complex repair of axilla, 2.6-7.5 cm",Not Applicable,100% of Medicare,590.1,150,709.26
NYEE,EMPIRE HEALTHCHOICE ASSURANCE,13132,"Complex repair of axilla, 2.6-7.5 cm",Not Applicable,100% of Medicare,150,150,709.26
NYEE,"HEALTHPLUS HP, LLC HEALTHPLUS MEDICAID",13132,"Complex repair of axilla, 2.6-7.5 cm",Not Applicable,100% of Medicare,709.26,150,709.26
NYEE,EH FACET EFT,13133,"Complex repair of axilla, each additional 5.0 cm or less",Not Applicable,100% of Medicare,336.03,336.03,336.03
NYEE,"HEALTHPLUS HP, LLC HEALTHPLUS MEDICAID",13133,"Complex repair of axilla, each additional 5.0 cm or less",Not Applicable,100% of Medicare,336.03,336.03,336.03
NYEE,"HEALTHPLUS HP, LLC HEALTHPLUS MEDICAID",13151,"Complex repair of ear, 1.1-2.5 cm",Not Applicable,100% of Medicare,709.26,709.26,709.26
NYEE,AETNA AETNA CHOICE  POS II NET 00357,13152,"Complex repair of ear, 2.6-7.5 cm",Not Applicable,100% of Medicare,4632.96,4632.96,4632.96
NYEE,AETNA AETNA OPEN ACCESS  ELECT CHOICE NET 01344,13152,"Complex repair of ear, 2.6-7.5 cm",Not Applicable,100% of Medicare,4632.96,4632.96,4632.96
NYEE,AETNA AETNA CHOICE  POS II NET 00357,14000,"Rearrangement of adjacent tissue for repair of defect of trunk, 10.0 sq cm or less",Not Applicable,100% of Medicare,4828.11,1083.5,4828.11
NYEE,AETNA OPEN ACCESS AETNA SELECT  8480 NET 01344,14000,"Rearrangement of adjacent tissue for repair of defect of trunk, 10.0 sq cm or less",Not Applicable,100% of Medicare,2365.27,1083.5,4828.11
NYEE,EMPIRE HEALTHCHOICE ASSURANCE,14000,"Rearrangement of adjacent tissue for repair of defect of trunk, 10.0 sq cm or less",Not Applicable,100% of Medicare,1083.5,1083.5,4828.11
NYEE,"HEALTHPLUS HP, LLC HEALTHPLUS MEDICAID",14000,"Rearrangement of adjacent tissue for repair of defect of trunk, 10.0 sq cm or less",Not Applicable,100% of Medicare,1663.01,1083.5,4828.11
NYEE,AETNA OPEN ACCESS AETNA SELECT  8480 NET 01344,14020,"Rearrangement of adjacent tissue for repair of defect of scalp, 10 sq cm or less",Not Applicable,100% of Medicare,2779.12,2779.12,2779.12
NYEE,AETNA AETNA CHOICE  POS II NET 00357,14040,"Rearrangement of adjacent tissue for repair of defect of axilla, 10.0 sq cm or less",Not Applicable,100% of Medicare,2591.11,1663.01,2591.11
NYEE,AETNA MEDICARE (C04) ESA PPO PLAN NET 03397,14040,"Rearrangement of adjacent tissue for repair of defect of axilla, 10.0 sq cm or less",Not Applicable,100% of Medicare,1901.79,1663.01,2591.11
NYEE,"HEALTHPLUS HP, LLC HEALTHPLUS ESSENTIAL PLAN",14040,"Rearrangement of adjacent tissue for repair of defect of axilla, 10.0 sq cm or less",Not Applicable,100% of Medicare,1663.01,1663.01,2591.11
NYEE,"HEALTHPLUS HP, LLC HEALTHPLUS MEDICAID",14040,"Rearrangement of adjacent tissue for repair of defect of axilla, 10.0 sq cm or less",Not Applicable,100% of Medicare,1802.66,1663.01,2591.11
NYEE,METROPLUS ESSENTIAL PLAN,14040,"Rearrangement of adjacent tissue for repair of defect of axilla, 10.0 sq cm or less",Not Applicable,100% of Medicare,1995.61,1663.01,2591.11
NYEE,AETNA AETNA CHOICE  POS II NET 00357,14041,"Rearrangement of adjacent tissue for repair of defect of axilla, 10.1-30.0 sq cm",Not Applicable,100% of Medicare,3226.41,3226.41,3226.41
NYEE,AETNA AETNA CHOICE  POS II NET 00357,14060,"Rearrangement of adjacent tissue for repair of defect of ear, 10.0 sq cm or less",Not Applicable,100% of Medicare,2309.02,773.66,4715
NYEE,AETNA OPEN ACCESS AETNA SELECT  8480 NET 01344,14060,"Rearrangement of adjacent tissue for repair of defect of ear, 10.0 sq cm or less",Not Applicable,100% of Medicare,4006.98,773.66,4715
NYEE,"HEALTHPLUS HP, LLC HEALTHPLUS MEDICAID",14060,"Rearrangement of adjacent tissue for repair of defect of ear, 10.0 sq cm or less",Not Applicable,100% of Medicare,1592.51,773.66,4715
NYEE,MVP Health Plan Not Assigned,14060,"Rearrangement of adjacent tissue for repair of defect of ear, 10.0 sq cm or less",Not Applicable,100% of Medicare,3500,773.66,4715
