Date current as of 9/27/21,,,,,,,,
,,,,,,,,
CAMPUS,Payer/Plan Name,DRG/CPT/HCPCS Code,DRG/CPT/HCPCS Description,Gross Charge,Discounted Cash Price,Negotiated Charge,Minimum Negotiated Charge,Maximum Negotiated Charge
MSQ,OXFORD HEALTH INSURANCE INC MTRO,64,Intracranial hemorrhage or cerebral infarction with MCC,Not Applicable,100% of Medicare,27226,13766,30885
MSQ,METROPLUS HEALTH PLAN,64,Intracranial hemorrhage or cerebral infarction with MCC,Not Applicable,100% of Medicare,14440,13766,30885
MSQ,FIDELIS CARE NEW YORK - MEDICARE DUAL ELIGIBLE NETWORK - MEDICARE/MEDICAID,64,Intracranial hemorrhage or cerebral infarction with MCC,Not Applicable,100% of Medicare,14440,13766,30885
MSQ,UNITEDHEALTHCARE SERVICES INC AND NEW YORK CITY DC CARPENTERS,64,Intracranial hemorrhage or cerebral infarction with MCC,Not Applicable,100% of Medicare,14003,13766,30885
MSQ,EMPIRE HEALTHCHOICE HMO,64,Intracranial hemorrhage or cerebral infarction with MCC,Not Applicable,100% of Medicare,30885,13766,30885
MSQ,EMPIRE HEALTHCHOICE ASSURANCE,64,Intracranial hemorrhage or cerebral infarction with MCC,Not Applicable,100% of Medicare,14293,13766,30885
MSQ,UNITEDHEALTHCARE SERVICES INC AND AARP MEDICARE ADVANTAGE PLAN 1,64,Intracranial hemorrhage or cerebral infarction with MCC,Not Applicable,100% of Medicare,15148,13766,30885
MSQ,OXFORD HEALTH INSURANCE INC FREEDOM,64,Intracranial hemorrhage or cerebral infarction with MCC,Not Applicable,100% of Medicare,25743,13766,30885
MSQ,UNITEDHEALTHCARE SERVICES INC AND VERIZON,64,Intracranial hemorrhage or cerebral infarction with MCC,Not Applicable,100% of Medicare,14939,13766,30885
MSQ,UNITEDHEALTHCARE SERVICES INC AND AARP MEDICARECOMPLETE MOSAIC,64,Intracranial hemorrhage or cerebral infarction with MCC,Not Applicable,100% of Medicare,13766,13766,30885
MSQ,"EMPIRE HEALTHCHOICE ASSURANCE, INC.",65,"Intracranial hemorrhage or cerebral infarction with CC or tPA
in 24 hours",Not Applicable,100% of Medicare,21066,6795,24786
MSQ,"EMPIRE HEALTHCHOICE ASSURANCE, IN",65,"Intracranial hemorrhage or cerebral infarction with CC or tPA
in 24 hours",Not Applicable,100% of Medicare,24786,6795,24786
MSQ,EMPIRE HEALTHCHOICE ASSURANCE,65,"Intracranial hemorrhage or cerebral infarction with CC or tPA
in 24 hours",Not Applicable,100% of Medicare,7009,6795,24786
MSQ,EMPIRE HEALTHCHOICE HMO,65,"Intracranial hemorrhage or cerebral infarction with CC or tPA
in 24 hours",Not Applicable,100% of Medicare,16885,6795,24786
MSQ,CIGNA HEALTH AND LIFE INSURANCE C OPEN ACCESS PLUS,65,"Intracranial hemorrhage or cerebral infarction with CC or tPA
in 24 hours",Not Applicable,100% of Medicare,15027,6795,24786
MSQ,UNITEDHEALTHCARE SERVICES INC AND AARP MEDICARECOMPLETE PLAN 1,65,"Intracranial hemorrhage or cerebral infarction with CC or tPA
in 24 hours",Not Applicable,100% of Medicare,6795,6795,24786
MSQ,"WELLCARE OF NEW YORK, INC",65,"Intracranial hemorrhage or cerebral infarction with CC or tPA
in 24 hours",Not Applicable,100% of Medicare,8062,6795,24786
MSQ,UNITEDHEALTHCARE INSURANCE COMPAN CHOYC,66,"Intracranial hemorrhage or cerebral infarction without
CC/MCC",Not Applicable,100% of Medicare,14344,14344,14344
MSQ,UNITEDHEALTHCARE SERVICES INC AND AARP MEDICARECOMPLETE PLAN 1,69,Transient ischemia without thrombolytic,Not Applicable,100% of Medicare,5658,874,6163
MSQ,UNITEDHEALTHCARE SERVICES INC AND AARP MEDICARE ADVANTAGE PLAN 1,69,Transient ischemia without thrombolytic,Not Applicable,100% of Medicare,6163,874,6163
MSQ,"WELLCARE OF NEW YORK, INC",69,Transient ischemia without thrombolytic,Not Applicable,100% of Medicare,5798,874,6163
MSQ,AETNA AETNA OPEN ACCESS  MANAGED CHOICE NET 00357,69,Transient ischemia without thrombolytic,Not Applicable,100% of Medicare,874,874,6163
MSQ,UNITEDHEALTHCARE OF NEW YORK INC NY DUAL COMPLETE,69,Transient ischemia without thrombolytic,Not Applicable,100% of Medicare,5759,874,6163
MSQ,EMPIRE HEALTHCHOICE ASSURANCE,70,Nonspecific cerebrovascular disorders with MCC,Not Applicable,100% of Medicare,12364,11715,34363
MSQ,"EMPIRE HEALTHCHOICE ASSURANCE, IN",70,Nonspecific cerebrovascular disorders with MCC,Not Applicable,100% of Medicare,34363,11715,34363
MSQ,UNITEDHEALTHCARE SERVICES INC AND AARP MEDICARE ADVANTAGE MOSAIC,70,Nonspecific cerebrovascular disorders with MCC,Not Applicable,100% of Medicare,12233,11715,34363
MSQ,"WELLCARE OF NEW YORK, INC",70,Nonspecific cerebrovascular disorders with MCC,Not Applicable,100% of Medicare,12933,11715,34363
MSQ,UNITEDHEALTHCARE SERVICES INC AND AARP MEDICARE ADVANTAGE PLAN 1,70,Nonspecific cerebrovascular disorders with MCC,Not Applicable,100% of Medicare,12224,11715,34363
MSQ,1199SEIU NATIONAL BENEFIT FUND,70,Nonspecific cerebrovascular disorders with MCC,Not Applicable,100% of Medicare,20150,11715,34363
MSQ,EH FACET EFT,70,Nonspecific cerebrovascular disorders with MCC,Not Applicable,100% of Medicare,11715,11715,34363
MSQ,FIDELIS CARE NEW YORK - MEDICARE DUAL ELIGIBLE NETWORK - MEDICARE/MEDICAID,72,Nonspecific cerebrovascular disorders without CC/MCC,Not Applicable,100% of Medicare,5211,5211,5211
MSQ,"EMPIRE HEALTHCHOICE ASSURANCE, INC.",73,Cranial and peripheral nerve disorders with MCC*,Not Applicable,100% of Medicare,25554,25554,25554
MSQ,UNITEDHEALTHCARE INSURANCE COMPAN OPT/PPO,74,Cranial and peripheral nerve disorders without MCC*,Not Applicable,100% of Medicare,16846,8302,16969
MSQ,UNITEDHEALTHCARE SERVICES INC AND AARP MEDICARE ADVANTAGE MOSAIC,74,Cranial and peripheral nerve disorders without MCC*,Not Applicable,100% of Medicare,8302,8302,16969
MSQ,EMPIRE HEALTHCHOICE HMO,74,Cranial and peripheral nerve disorders without MCC*,Not Applicable,100% of Medicare,16969,8302,16969
MSQ,NYSDOH,82,Traumatic stupor and coma >1 hour with MCC,Not Applicable,100% of Medicare,2624,2624,18530
MSQ,UNITEDHEALTHCARE SERVICES INC AND CITIGROUP,82,Traumatic stupor and coma >1 hour with MCC,Not Applicable,100% of Medicare,18530,2624,18530
MSQ,EMPIRE HEALTHCHOICE ASSURANCE,82,Traumatic stupor and coma >1 hour with MCC,Not Applicable,100% of Medicare,7742,2624,18530
MSQ,METROPLUS HEALTH PLAN,83,Traumatic stupor and coma >1 hour with CC,Not Applicable,100% of Medicare,9935,9515,19165
MSQ,GREATWESTHEALTHCARE-CIGNA OPEN ACCESS PLUS,83,Traumatic stupor and coma >1 hour with CC,Not Applicable,100% of Medicare,19165,9515,19165
MSQ,AETNA ELITE PPO NET 03397,83,Traumatic stupor and coma >1 hour with CC,Not Applicable,100% of Medicare,9515,9515,19165
MSQ,EMPIRE HEALTHCHOICE ASSURANCE,86,Traumatic stupor and coma <1 hour with CC,Not Applicable,100% of Medicare,9310,8699,9310
MSQ,UNITEDHEALTHCARE SERVICES INC AND UNITEDHEALTHCARE NURSING HOME,86,Traumatic stupor and coma <1 hour with CC,Not Applicable,100% of Medicare,9081,8699,9310
MSQ,UNITEDHEALTHCARE SERVICES INC AND AARP MEDICARE ADVANTAGE PLAN 1,86,Traumatic stupor and coma <1 hour with CC,Not Applicable,100% of Medicare,8699,8699,9310
MSQ,AETNA MEDICARE (V03) PPO PLAN NET 03397,91,Other disorders of nervous system with MCC*,Not Applicable,100% of Medicare,13195,11351,13195
MSQ,UNITEDHEALTHCARE SERVICES INC AND AARP MEDICARE ADVANTAGE PLAN 2,91,Other disorders of nervous system with MCC*,Not Applicable,100% of Medicare,11351,11351,13195
MSQ,EMPIRE HEALTHCHOICE ASSURANCE,91,Other disorders of nervous system with MCC*,Not Applicable,100% of Medicare,12235,11351,13195
MSQ,AETNA AETNA OPEN ACCESS  ELECT CHOICE NET 01344,92,Other disorders of nervous system with CC*,Not Applicable,100% of Medicare,10924,7468,10924
MSQ,1199SEIU NATIONAL BENEFIT FUND,92,Other disorders of nervous system with CC*,Not Applicable,100% of Medicare,10847,7468,10924
MSQ,"WELLCARE OF FLORIDA, INC.",92,Other disorders of nervous system with CC*,Not Applicable,100% of Medicare,8468,7468,10924
MSQ,EH FACET EFT,92,Other disorders of nervous system with CC*,Not Applicable,100% of Medicare,8279,7468,10924
MSQ,EMPIRE HEALTHCHOICE ASSURANCE,92,Other disorders of nervous system with CC*,Not Applicable,100% of Medicare,7468,7468,10924
MSQ,UNITEDHEALTHCARE SERVICES INC AND AARP MEDICARE ADVANTAGE MOSAIC,93,Other disorders of nervous system without CC/MCC*,Not Applicable,100% of Medicare,6002,6002,12366
MSQ,"EMPIRE HEALTHCHOICE ASSURANCE, INC.",93,Other disorders of nervous system without CC/MCC*,Not Applicable,100% of Medicare,12366,6002,12366
MSQ,EH FACET EFT,95,"Bacterial and tuberculous infections of nervous system with
CC",Not Applicable,100% of Medicare,52482,52482,52482
MSQ,FIDELIS CARE NEW YORK - MEDICARE DUAL ELIGIBLE NETWORK - MEDICARE/MEDICAID,96,"Bacterial and tuberculous infections of nervous system
without CC/MCC",Not Applicable,100% of Medicare,17628,17628,17628
MSQ,"EMPIRE HEALTHCHOICE ASSURANCE, INC.",100,Seizures with MCC,Not Applicable,100% of Medicare,37310,13372,37310
MSQ,METROPLUS HEALTH PLAN,100,Seizures with MCC,Not Applicable,100% of Medicare,14532,13372,37310
MSQ,UNITEDHEALTHCARE SERVICES INC AND FEDERAL RESERVE BANK,100,Seizures with MCC,Not Applicable,100% of Medicare,15267,13372,37310
MSQ,"EMPIRE HEALTHCHOICE ASSURANCE, IN",100,Seizures with MCC,Not Applicable,100% of Medicare,37310,13372,37310
MSQ,EMPIRE HEALTHCHOICE ASSURANCE,100,Seizures with MCC,Not Applicable,100% of Medicare,13407,13372,37310
MSQ,OXFORD HEALTH INSURANCE INC FREEDOM,100,Seizures with MCC,Not Applicable,100% of Medicare,21902,13372,37310
MSQ,UNITEDHEALTHCARE OF NEW YORK INC NY DUAL COMPLETE,100,Seizures with MCC,Not Applicable,100% of Medicare,13372,13372,37310
MSQ,UNITEDHEALTHCARE SERVICES INC AND AARP MEDICARE ADVANTAGE MOSAIC,100,Seizures with MCC,Not Applicable,100% of Medicare,15143,13372,37310
MSQ,1199SEIU NATIONAL BENEFIT FUND,101,Seizures without MCC,Not Applicable,100% of Medicare,10241,6196,12741
MSQ,FIDELIS CARE NEW YORK - MEDICARE DUAL ELIGIBLE NETWORK - MEDICARE/MEDICAID,101,Seizures without MCC,Not Applicable,100% of Medicare,6384,6196,12741
MSQ,OXFORD HEALTH INSURANCE INC FREEDOM,101,Seizures without MCC,Not Applicable,100% of Medicare,12741,6196,12741
MSQ,AETNA AETNA CHOICE  POS II NET 00357,101,Seizures without MCC,Not Applicable,100% of Medicare,10012,6196,12741
MSQ,UNITEDHEALTHCARE SERVICES INC AND AARP MEDICARE ADVANTAGE PLAN 1,101,Seizures without MCC,Not Applicable,100% of Medicare,6196,6196,12741
MSQ,UNITEDHEALTHCARE SERVICES INC AND FEDERAL RESERVE BANK,101,Seizures without MCC,Not Applicable,100% of Medicare,7538,6196,12741
MSQ,UNITEDHEALTHCARE SERVICES INC AND UNITEDHEALTHCARE NURSING HOME,101,Seizures without MCC,Not Applicable,100% of Medicare,6256,6196,12741
MSQ,AETNA AETNA CHOICE  POS II NET 00357,103,Headaches without MCC,Not Applicable,100% of Medicare,9561,6126,9561
MSQ,EMPIRE HEALTHCHOICE ASSURANCE,103,Headaches without MCC,Not Applicable,100% of Medicare,6126,6126,9561
MSQ,NYSDOH,113,Orbital procedures with CC/MCC,Not Applicable,100% of Medicare,2803,2803,8800
MSQ,METROPLUS HEALTH PLAN,113,Orbital procedures with CC/MCC,Not Applicable,100% of Medicare,4597,2803,8800
MSQ,FIDELIS CARE NEW YORK ESSENTIAL PLAN - NON ALIESSA,113,Orbital procedures with CC/MCC,Not Applicable,100% of Medicare,8800,2803,8800
MSQ,METROPLUS ESSENTIAL PLAN,113,Orbital procedures with CC/MCC,Not Applicable,100% of Medicare,5480,2803,8800
MSQ,FIDELIS CARE NEW YORK NEW YORK MEDICAID,113,Orbital procedures with CC/MCC,Not Applicable,100% of Medicare,4608,2803,8800
MSQ,FIDELIS CARE NEW YORK NEW YORK MEDICAID,115,Extraocular procedures except orbit,Not Applicable,100% of Medicare,8105,3247,8105
MSQ,NYSDOH,115,Extraocular procedures except orbit,Not Applicable,100% of Medicare,3247,3247,8105
MSQ,AETNA AETNA CHOICE  POS II NET 00357,124,Other disorders of the eye with MCC,Not Applicable,100% of Medicare,1208,1208,1208
MSQ,"HEALTHPLUS HP, LLC HEALTHPLUS MEDICAID",136,Sinus and mastoid procedures without CC/MCC,Not Applicable,100% of Medicare,15219,14247,17436
MSQ,NYSDOH,136,Sinus and mastoid procedures without CC/MCC,Not Applicable,100% of Medicare,14247,14247,17436
MSQ,FIDELIS CARE NEW YORK NEW YORK MEDICAID,136,Sinus and mastoid procedures without CC/MCC,Not Applicable,100% of Medicare,17436,14247,17436
MSQ,FIDELIS CARE NEW YORK ESSENTIAL PLAN - NON ALIESSA,137,Mouth procedures with CC/MCC,Not Applicable,100% of Medicare,14856,9624,24143
MSQ,WELLCARE OF NEW YORK INC,137,Mouth procedures with CC/MCC,Not Applicable,100% of Medicare,14083,9624,24143
MSQ,"HEALTHPLUS HP, LLC HEALTHPLUS MEDICAID",137,Mouth procedures with CC/MCC,Not Applicable,100% of Medicare,13929,9624,24143
MSQ,EH FACET EFT,137,Mouth procedures with CC/MCC,Not Applicable,100% of Medicare,20329,9624,24143
MSQ,GOLDCARE I,137,Mouth procedures with CC/MCC,Not Applicable,100% of Medicare,20329,9624,24143
MSQ,NYSDOH,137,Mouth procedures with CC/MCC,Not Applicable,100% of Medicare,9624,9624,24143
MSQ,UNITEDHEALTHCARE OF NEW YORK INC NY ESSENTIAL PLAN ALIESSA NO COPAY,137,Mouth procedures with CC/MCC,Not Applicable,100% of Medicare,15156,9624,24143
MSQ,METROPLUS ENHANCED (HARP),137,Mouth procedures with CC/MCC,Not Applicable,100% of Medicare,13144,9624,24143
MSQ,METROPLUS ESSENTIAL PLAN,137,Mouth procedures with CC/MCC,Not Applicable,100% of Medicare,13413,9624,24143
MSQ,FIDELIS CARE NEW YORK-EXCHANGES NY EXCHANGES NETWORK,137,Mouth procedures with CC/MCC,Not Applicable,100% of Medicare,24143,9624,24143
MSQ,FIDELIS CARE NEW YORK NEW YORK MEDICAID,137,Mouth procedures with CC/MCC,Not Applicable,100% of Medicare,13021,9624,24143
MSQ,METROPLUS HEALTH PLAN,137,Mouth procedures with CC/MCC,Not Applicable,100% of Medicare,13144,9624,24143
MSQ,EH FACET EFT,138,Mouth procedures without CC/MCC,Not Applicable,100% of Medicare,5674,2909,5674
MSQ,NYSDOH,138,Mouth procedures without CC/MCC,Not Applicable,100% of Medicare,2909,2909,5674
MSQ,METROPLUS ENHANCED (HARP),139,Salivary gland procedures,Not Applicable,100% of Medicare,9240,5110,10097
MSQ,METROPLUS HEALTH PLAN,139,Salivary gland procedures,Not Applicable,100% of Medicare,7946,5110,10097
MSQ,"WELLCARE OF NEW YORK, INC",139,Salivary gland procedures,Not Applicable,100% of Medicare,9900,5110,10097
MSQ,NYSDOH,139,Salivary gland procedures,Not Applicable,100% of Medicare,5110,5110,10097
MSQ,"HEALTHPLUS HP, LLC HEALTHPLUS ESSENTIAL PLAN",139,Salivary gland procedures,Not Applicable,100% of Medicare,6029,5110,10097
MSQ,FIDELIS CARE NEW YORK NEW YORK MEDICAID,139,Salivary gland procedures,Not Applicable,100% of Medicare,9146,5110,10097
MSQ,UNITEDHEALTHCARE OF NEW YORK INC NY COMMUNITY PLAN FOR FAMILIES WITH BH,139,Salivary gland procedures,Not Applicable,100% of Medicare,9429,5110,10097
