USNWR Rank,file date,Hospital,MS-DRG,MS-DRG TITLE,"DE-IDENTIFIED
MIN","DE-IDENTIFIED
MAX","Aetna Commercial A  VW
RATE","Aetna Commercial P
RATE","Aetna VHAN A VW
RATE","Aetna VHAN P
RATE","Aetna AWH A VW
RATE","Aetna AWH P
RATE","Aetna TN Preferred A VW
RATE","Aetna TN Preferred B
RATE","BLUE CROSS BLUE SHIELD OF TENNESSEE - P VUMC
RATE","CIGNA VUMCAO
RATE","HUMANA VUMCP
RATE","HUMANA VUMC
RATE","UNITED HEALTHCARE Comm
A",Aetna TRANSPLANT RATES MIN,Aetna TRANSPLANT RATES MAX,Humana NTN TRANSPLANT RATES MIN,Humana NTN TRANSPLANT RATES MAX,Optum TRANSPLANT RATES MIN,Optum TRANSPLANT RATES MAX,Wellcare of TN @100% TRANSPLANT RATES,BCBS MA @105% TRANSPLANT RATES,BCBS DSNP @105% TRANSPLANT RATES,VA CCN @100% TRANSPLANT RATES,Humana MA @ 100% TRANSPLANT RATES
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,14,ALLOGENEIC BONE MARROW TRANSPLANT,"$71,497.39 ","$277,977.24 ",,,,,,,,,,"$199,566.52 ","$274,852.31 ","$211,673.92 ","$223,232.86 ","$158,179.00 ","$273,546.00 ","$118,178.00 ","$213,837.00 ","$194,962.00 ","$222,895.00 ","$103,636.07 ","$108,817.87 ","$108,817.87 ","$103,636.07 ","$103,636.07 "
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,16,AUTOLOGOUS BONE MARROW TRANSPLANT WITH CC/MCC,"$37,633.09 ","$146,315.03 ",,,,,,,,,,"$105,043.07 ","$144,670.20 ","$111,415.87 ","$117,499.99 ","$128,627.00 ","$145,777.00 ","$95,670.00 ","$95,670.00 ","$112,357.00 ","$142,687.00 ","$54,549.48 ","$57,276.95 ","$57,276.95 ","$54,549.48 ","$54,549.48 "
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,17,AUTOLOGOUS BONE MARROW TRANSPLANT WITHOUT CC/MCC,"$27,024.97 ","$145,777.00 ",,,,,,,,,,"$75,433.23 ","$103,890.16 ","$80,009.65 ","$84,378.76 ","$128,627.00 ","$145,777.00 ","$101,295.00 ","$101,295.00 ","$112,357.00 ","$142,687.00 ","$39,172.92 ","$41,131.57 ","$41,131.57 ","$39,172.92 ","$39,172.92 "
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,18,CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL IMMUNOTHERAPY,"$208,855.76 ","$812,017.74 ",,,,,,,,,,"$582,966.99 ","$802,889.30 ","$618,334.73 ","$652,100.30 ",,,,,,,,,,,
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,19,SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT WITH HEMODIALYSIS,"$37,273.33 ","$144,916.31 ",,,,,,,,,,"$104,038.89 ","$143,287.21 ","$110,350.78 ","$116,376.73 ",,,,,,,,,,,
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,20,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH MCC,"$35,823.53 ","$224,493.14 ","$157,660.17 ","$205,545.43 ","$113,779.10 ","$149,992.33 ","$112,303.33 ","$148,031.51 ","$139,311.03 ","$181,633.76 ","$156,920.63 ","$161,169.00 ","$221,969.46 ","$170,946.88 ","$180,281.83 ",,,,,,,,,,,
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,21,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH CC,"$31,151.36 ","$166,654.42 ","$115,060.25 ","$150,006.88 ","$83,035.89 ","$109,464.27 ","$81,958.87 ","$108,033.27 ","$101,669.07 ","$132,556.16 ","$136,454.76 ","$117,621.00 ","$161,993.12 ","$124,756.89 ","$131,569.52 ",,,,,,,,,,,
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,22,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITHOUT CC/MCC,"$22,689.47 ","$139,460.96 ","$74,240.11 ","$96,788.65 ","$53,577.09 ","$70,629.43 ","$52,882.17 ","$69,706.10 ","$65,599.74 ","$85,528.96 ","$114,189.06 ","$75,892.37 ","$104,522.51 ","$80,496.65 ","$84,892.35 ",,,,,,,,,,,
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,23,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITH MCC OR CHEMOTHERAPY IMPLANT OR EPILEPSY WITH NEUROSTIMULATOR,"$26,437.28 ","$179,308.73 ","$86,502.96 ","$112,776.03 ","$62,426.86 ","$82,295.87 ","$61,617.15 ","$81,220.03 ","$76,435.39 ","$99,656.48 ","$146,815.96 ","$88,428.14 ","$121,787.35 ","$93,792.94 ","$98,914.72 ",,,,,,,,,,,
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,24,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITHOUT MCC,"$18,360.84 ","$111,153.51 ","$60,076.80 ","$78,323.60 ","$43,355.81 ","$57,154.96 ","$42,793.47 ","$56,407.78 ","$53,084.82 ","$69,212.00 ","$91,011.24 ","$61,413.85 ","$84,582.02 ","$65,139.74 ","$68,696.84 ",,,,,,,,,,,
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,25,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC,"$20,939.74 ","$118,364.65 ","$68,619.70 ","$89,461.19 ","$49,520.99 ","$65,282.37 ","$48,878.68 ","$64,428.94 ","$60,633.46 ","$79,053.92 ","$96,915.64 ","$70,146.88 ","$96,609.55 ","$74,402.58 ","$78,465.51 ",,,,,,,,,,,
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,26,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH CC,"$14,277.80 ","$79,509.04 ","$46,717.07 ","$60,906.19 ","$33,714.45 ","$44,444.97 ","$33,277.16 ","$43,863.95 ","$41,279.94 ","$53,820.80 ","$65,101.10 ","$47,756.79 ","$65,772.87 ","$50,654.12 ","$53,420.20 ",,,,,,,,,,,
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,27,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITHOUT CC/MCC,"$11,311.37 ","$60,513.90 ","$38,372.77 ","$50,027.52 ","$27,692.60 ","$36,506.50 ","$27,333.41 ","$36,029.26 ","$33,906.79 ","$44,207.68 ","$49,548.10 ","$39,226.78 ","$54,024.95 ","$41,606.61 ","$43,878.63 ",,,,,,,,,,,
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,28,SPINAL PROCEDURES WITH MCC,"$14,397.64 ","$126,602.46 ","$88,912.14 ","$115,916.94 ","$64,165.50 ","$84,587.88 ","$63,333.24 ","$83,482.08 ","$78,564.18 ","$102,432.00 ","$63,067.14 ","$90,890.94 ","$125,179.24 ","$96,405.16 ","$101,669.58 ",,,,,,,,,,,
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,29,SPINAL PROCEDURES WITH CC OR SPINAL NEUROSTIMULATORS,"$14,164.32 ","$75,776.65 ","$50,337.72 ","$65,626.52 ","$36,327.38 ","$47,889.53 ","$35,856.19 ","$47,263.48 ","$44,479.21 ","$57,992.00 ","$62,045.06 ","$51,458.02 ","$70,870.38 ","$54,579.90 ","$57,560.36 ",,,,,,,,,,,
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,30,SPINAL PROCEDURES WITHOUT CC/MCC,"$8,540.70 ","$51,274.00 ","$36,009.42 ","$46,946.36 ","$25,987.03 ","$34,258.09 ","$25,649.96 ","$33,810.24 ","$31,818.49 ","$41,484.96 ","$37,411.50 ","$36,810.83 ","$50,697.59 ","$39,044.09 ","$41,176.18 ",,,,,,,,,,,
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,31,VENTRICULAR SHUNT PROCEDURES WITH MCC,"$20,385.32 ","$145,053.32 ","$66,700.91 ","$86,959.61 ","$48,136.25 ","$63,456.90 ","$47,511.90 ","$62,627.34 ","$58,937.98 ","$76,843.36 ","$118,768.02 ","$68,185.38 ","$93,908.09 ","$72,322.09 ","$76,271.40 ",,,,,,,,,,,
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,32,VENTRICULAR SHUNT PROCEDURES WITH CC,"$10,328.76 ","$62,886.11 ","$33,795.78 ","$44,060.39 ","$24,389.51 ","$32,152.11 ","$24,073.16 ","$31,731.80 ","$29,862.49 ","$38,934.72 ","$51,490.44 ","$34,547.93 ","$47,581.02 ","$36,643.90 ","$38,644.92 ",,,,,,,,,,,
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,33,VENTRICULAR SHUNT PROCEDURES WITHOUT CC/MCC,"$8,033.95 ","$46,315.41 ","$26,287.13 ","$34,271.18 ","$18,970.72 ","$25,008.65 ","$18,724.66 ","$24,681.72 ","$23,227.73 ","$30,284.32 ","$37,922.54 ","$26,872.17 ","$37,009.61 ","$28,502.47 ","$30,058.91 ",,,,,,,,,,,
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,34,CAROTID ARTERY STENT PROCEDURES WITH MCC,"$11,823.58 ","$86,459.47 ","$60,719.96 ","$79,162.11 ","$43,819.97 ","$57,766.84 ","$43,251.60 ","$57,011.66 ","$53,653.13 ","$69,952.96 ","$51,791.77 ","$62,071.33 ","$85,487.53 ","$65,837.10 ","$69,432.29 ",,,,,,,,,,,
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,35,CAROTID ARTERY STENT PROCEDURES WITH CC,"$8,829.34 ","$50,838.94 ","$35,703.88 ","$46,548.02 ","$25,766.53 ","$33,967.41 ","$25,432.32 ","$33,523.36 ","$31,548.51 ","$41,132.96 ","$38,675.86 ","$36,498.49 ","$50,267.42 ","$38,712.80 ","$40,826.80 ",,,,,,,,,,,
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,36,CAROTID ARTERY STENT PROCEDURES WITHOUT CC/MCC,"$7,890.91 ","$42,215.01 ","$28,280.78 ","$36,870.35 ","$20,409.48 ","$26,905.34 ","$20,144.76 ","$26,553.61 ","$24,989.35 ","$32,581.12 ","$34,565.17 ","$28,910.19 ","$39,816.46 ","$30,664.13 ","$32,338.61 ",,,,,,,,,,,
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,37,EXTRACRANIAL PROCEDURES WITH MCC,"$10,499.37 ","$71,234.55 ","$50,027.59 ","$65,222.20 ","$36,103.57 ","$47,594.49 ","$35,635.29 ","$46,972.30 ","$44,205.18 ","$57,634.72 ","$45,991.20 ","$51,140.99 ","$70,433.75 ","$54,243.64 ","$57,205.73 ",,,,,,,,,,,
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,38,EXTRACRANIAL PROCEDURES WITH CC,"$7,647.35 ","$40,912.03 ","$25,318.57 ","$33,008.44 ","$18,271.73 ","$24,087.20 ","$18,034.74 ","$23,772.31 ","$22,371.89 ","$29,168.48 ","$33,498.31 ","$25,882.05 ","$35,645.97 ","$27,452.28 ","$28,951.37 ",,,,,,,,,,,
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,39,EXTRACRANIAL PROCEDURES WITHOUT CC/MCC,"$5,185.77 ","$27,743.00 ","$17,400.50 ","$22,685.46 ","$12,557.48 ","$16,554.23 ","$12,394.60 ","$16,337.82 ","$15,375.36 ","$20,046.40 ","$22,715.65 ","$17,787.76 ","$24,498.14 ","$18,866.92 ","$19,897.19 ",,,,,,,,,,,
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,40,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH MCC","$18,478.97 ","$115,423.00 ","$60,463.31 ","$78,827.50 ","$43,634.75 ","$57,522.67 ","$43,068.78 ","$56,770.68 ","$53,426.34 ","$69,657.28 ","$94,507.05 ","$61,808.96 ","$85,126.18 ","$65,558.82 ","$69,138.81 ",,,,,,,,,,,
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,41,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH CC OR PERIPHERAL NEUROSTIMULATOR","$8,195.82 ","$51,143.48 ","$35,917.75 ","$46,826.86 ","$25,920.88 ","$34,170.89 ","$25,584.67 ","$33,724.18 ","$31,737.50 ","$41,379.36 ","$35,900.79 ","$36,717.13 ","$50,568.54 ","$38,944.70 ","$41,071.37 ",,,,,,,,,,,
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,42,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITHOUT CC/MCC","$8,039.18 ","$43,008.23 ","$28,795.62 ","$37,541.55 ","$20,781.02 ","$27,395.14 ","$20,511.48 ","$27,037.01 ","$25,444.27 ","$33,174.24 ","$35,214.66 ","$29,436.48 ","$40,541.30 ","$31,222.35 ","$32,927.32 ",,,,,,,,,,,
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,52,SPINAL DISORDERS AND INJURIES WITH CC/MCC,"$7,761.69 ","$49,811.57 ","$28,187.59 ","$36,748.86 ","$20,342.23 ","$26,816.68 ","$20,078.38 ","$26,466.11 ","$24,907.00 ","$32,473.76 ","$40,785.15 ","$28,814.93 ","$39,685.26 ","$30,563.09 ","$32,232.05 ",,,,,,,,,,,
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,53,SPINAL DISORDERS AND INJURIES WITHOUT CC/MCC,"$4,088.38 ","$24,713.58 ","$17,356.20 ","$22,627.70 ","$12,525.50 ","$16,512.08 ","$12,363.04 ","$16,296.22 ","$15,336.21 ","$19,995.36 ","$17,908.66 ","$17,742.47 ","$24,435.76 ","$18,818.88 ","$19,846.53 ",,,,,,,,,,,
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,54,NERVOUS SYSTEM NEOPLASMS WITH MCC,"$6,376.92 ","$41,421.78 ","$20,865.33 ","$27,202.64 ","$15,057.95 ","$19,850.54 ","$14,862.64 ","$19,591.04 ","$18,436.93 ","$24,038.08 ","$33,915.69 ","$21,329.70 ","$29,376.25 ","$22,623.74 ","$23,859.16 ",,,,,,,,,,,
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,55,NERVOUS SYSTEM NEOPLASMS WITHOUT MCC,"$4,698.28 ","$29,297.12 ","$15,940.02 ","$20,781.40 ","$11,503.49 ","$15,164.78 ","$11,354.28 ","$14,966.53 ","$14,084.86 ","$18,363.84 ","$23,988.15 ","$16,294.78 ","$22,441.93 ","$17,283.36 ","$18,227.15 ",,,,,,,,,,,
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,56,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITH MCC,"$4,969.64 ","$47,580.34 ","$33,415.38 ","$43,564.45 ","$24,114.98 ","$31,790.22 ","$23,802.20 ","$31,374.63 ","$29,526.36 ","$38,496.48 ","$21,768.91 ","$34,159.06 ","$47,045.45 ","$36,231.44 ","$38,209.94 ",,,,,,,,,,,
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,57,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITHOUT MCC,"$3,707.71 ","$27,500.14 ","$19,313.18 ","$25,179.07 ","$13,937.81 ","$18,373.88 ","$13,757.02 ","$18,133.68 ","$17,065.44 ","$22,249.92 ","$16,241.17 ","$19,743.01 ","$27,191.00 ","$20,940.79 ","$22,084.31 ",,,,,,,,,,,
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,58,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITH MCC,"$4,998.46 ","$37,778.44 ","$26,531.57 ","$34,589.85 ","$19,147.12 ","$25,241.20 ","$18,898.77 ","$24,911.22 ","$23,443.71 ","$30,565.92 ","$21,895.14 ","$27,122.04 ","$37,353.74 ","$28,767.50 ","$30,338.41 ",,,,,,,,,,,
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,59,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITH CC,"$3,623.12 ","$24,504.75 ","$17,209.54 ","$22,436.50 ","$12,419.66 ","$16,372.55 ","$12,258.57 ","$16,158.52 ","$15,206.62 ","$19,826.40 ","$15,870.62 ","$17,592.55 ","$24,229.28 ","$18,659.86 ","$19,678.83 ",,,,,,,,,,,
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,60,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITHOUT CC/MCC,"$2,947.76 ","$19,917.05 ","$13,987.62 ","$18,236.01 ","$10,094.49 ","$13,307.33 ","$9,963.56 ","$13,133.37 ","$12,359.68 ","$16,114.56 ","$12,912.31 ","$14,298.93 ","$19,693.15 ","$15,166.42 ","$15,994.62 ",,,,,,,,,,,
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,61,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WITH MCC","$11,871.46 ","$63,510.25 ","$44,123.03 ","$57,524.28 ","$31,842.41 ","$41,977.10 ","$31,429.39 ","$41,428.34 ","$38,987.81 ","$50,832.32 ","$52,001.48 ","$45,105.02 ","$62,120.73 ","$47,841.47 ","$50,453.97 ",,,,,,,,,,,
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,62,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WITH CC","$9,278.24 ","$51,935.13 ","$30,358.45 ","$39,579.06 ","$21,908.88 ","$28,881.96 ","$21,624.71 ","$28,504.40 ","$26,825.21 ","$34,974.72 ","$42,523.90 ","$31,034.10 ","$42,741.61 ","$32,916.89 ","$34,714.40 ",,,,,,,,,,,
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,63,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WITHOUT CC/MCC","$7,983.52 ","$46,355.20 ","$26,122.14 ","$34,056.08 ","$18,851.65 ","$24,851.69 ","$18,607.13 ","$24,526.81 ","$23,081.94 ","$30,094.24 ","$37,955.11 ","$26,703.51 ","$36,777.32 ","$28,323.57 ","$29,870.24 ",,,,,,,,,,,
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,64,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC,"$7,254.60 ","$41,613.49 ","$29,224.90 ","$38,101.22 ","$21,090.83 ","$27,803.54 ","$20,817.27 ","$27,440.07 ","$25,823.59 ","$33,668.80 ","$31,777.89 ","$29,875.32 ","$41,145.68 ","$31,687.81 ","$33,418.20 ",,,,,,,,,,,
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,65,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS,"$4,189.71 ","$22,414.21 ","$15,555.04 ","$20,279.49 ","$11,225.66 ","$14,798.52 ","$11,080.05 ","$14,605.06 ","$13,744.68 ","$17,920.32 ","$18,352.50 ","$15,901.23 ","$21,899.91 ","$16,865.93 ","$17,786.94 ",,,,,,,,,,,
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,66,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITHOUT CC/MCC,"$3,281.95 ","$15,464.21 ","$10,860.42 ","$14,159.00 ","$7,837.67 ","$10,332.22 ","$7,736.01 ","$10,197.15 ","$9,596.44 ","$12,511.84 ","$11,501.36 ","$11,102.13 ","$15,290.36 ","$11,775.67 ","$12,418.71 ",,,,,,,,,,,
