USNWR Rank,file_create_date,name,code,code type,code description,payer,gross charge,de-identified minimum negotiated charge,payer-specific negotiated charge,de-identified maximum negotiated charge,discounted cash price
17 (tie),8/30/2021,Barnes-Jewish Hospital,14,ms-drg,allogeneic bone marrow transplant,TRNPLT ANTHEM NONBDC,303543.97,102913.59,243238.6,243238.6,182126.38
17 (tie),8/30/2021,Barnes-Jewish Hospital,14,ms-drg,allogeneic bone marrow transplant,TRNPLT OPTUM,303543.97,102913.59,162969.77,243238.6,182126.38
17 (tie),8/30/2021,Barnes-Jewish Hospital,16,ms-drg,autologous bone marrow transplant with cc/mcc,ACCESS PPO,163184.4,8728.84,159930.99,227503.34,97910.64
17 (tie),8/30/2021,Barnes-Jewish Hospital,16,ms-drg,autologous bone marrow transplant with cc/mcc,TRICARE,163184.4,8728.84,53486.74,227503.34,97910.64
17 (tie),8/30/2021,Barnes-Jewish Hospital,16,ms-drg,autologous bone marrow transplant with cc/mcc,TRNPLT ANTHEM NONBDC,163184.4,8728.84,147148.02,227503.34,97910.64
17 (tie),8/30/2021,Barnes-Jewish Hospital,20,ms-drg,intracranial vascular procedures with principal diagnosis hemorrhage with mcc,ACCESS PPO,338315.03,211170.39,380615.84,380615.84,202989.02
17 (tie),8/30/2021,Barnes-Jewish Hospital,20,ms-drg,intracranial vascular procedures with principal diagnosis hemorrhage with mcc,UHC,338315.03,211170.39,211170.39,380615.84,202989.02
17 (tie),8/30/2021,Barnes-Jewish Hospital,23,ms-drg,craniotomy with major device implant or acute complex cns principal diagnosis with mcc or chemotherapy implant or epilepsy with neurostimulator,ACCESS CHOICE PPO,143741.93,41974.19,162872.49,176012.57,86245.16
17 (tie),8/30/2021,Barnes-Jewish Hospital,23,ms-drg,craniotomy with major device implant or acute complex cns principal diagnosis with mcc or chemotherapy implant or epilepsy with neurostimulator,ACCESS PPO,143741.93,41974.19,111498.11,176012.57,86245.16
17 (tie),8/30/2021,Barnes-Jewish Hospital,23,ms-drg,craniotomy with major device implant or acute complex cns principal diagnosis with mcc or chemotherapy implant or epilepsy with neurostimulator,AETNA MCR GOLD,143741.93,41974.19,43350.08,176012.57,86245.16
17 (tie),8/30/2021,Barnes-Jewish Hospital,23,ms-drg,craniotomy with major device implant or acute complex cns principal diagnosis with mcc or chemotherapy implant or epilepsy with neurostimulator,UHC,143741.93,41974.19,57107,176012.57,86245.16
17 (tie),8/30/2021,Barnes-Jewish Hospital,23,ms-drg,craniotomy with major device implant or acute complex cns principal diagnosis with mcc or chemotherapy implant or epilepsy with neurostimulator,UHC MEDICARE,143741.93,41974.19,41974.19,176012.57,86245.16
17 (tie),8/30/2021,Barnes-Jewish Hospital,25,ms-drg,craniotomy and endovascular intracranial procedures with mcc,ACCESS CHOICE PPO,113495.55,28689.76,76123.3,88464.55,68097.33
17 (tie),8/30/2021,Barnes-Jewish Hospital,25,ms-drg,craniotomy and endovascular intracranial procedures with mcc,ACCESS PPO,113495.55,28689.76,87747.21,88464.55,68097.33
17 (tie),8/30/2021,Barnes-Jewish Hospital,25,ms-drg,craniotomy and endovascular intracranial procedures with mcc,ADVANTRA,113495.55,28689.76,36793.1,88464.55,68097.33
17 (tie),8/30/2021,Barnes-Jewish Hospital,25,ms-drg,craniotomy and endovascular intracranial procedures with mcc,AETNA LOCAL NON LOCAL,113495.55,28689.76,71459.86,88464.55,68097.33
17 (tie),8/30/2021,Barnes-Jewish Hospital,25,ms-drg,craniotomy and endovascular intracranial procedures with mcc,AETNA MCR GOLD,113495.55,28689.76,30890.35,88464.55,68097.33
17 (tie),8/30/2021,Barnes-Jewish Hospital,25,ms-drg,craniotomy and endovascular intracranial procedures with mcc,AETNA MEDICARE,113495.55,28689.76,28806.79,88464.55,68097.33
17 (tie),8/30/2021,Barnes-Jewish Hospital,25,ms-drg,craniotomy and endovascular intracranial procedures with mcc,HEALTH ALLIANCE HMO,113495.55,28689.76,62680.2,88464.55,68097.33
17 (tie),8/30/2021,Barnes-Jewish Hospital,25,ms-drg,craniotomy and endovascular intracranial procedures with mcc,UHC,113495.55,28689.76,57107,88464.55,68097.33
17 (tie),8/30/2021,Barnes-Jewish Hospital,25,ms-drg,craniotomy and endovascular intracranial procedures with mcc,VA FEE BASIS,113495.55,28689.76,33210.99,88464.55,68097.33
17 (tie),8/30/2021,Barnes-Jewish Hospital,26,ms-drg,craniotomy and endovascular intracranial procedures with cc,ACCESS PPO,96186.72,20107.4,60790.86,80545.13,57712.03
17 (tie),8/30/2021,Barnes-Jewish Hospital,26,ms-drg,craniotomy and endovascular intracranial procedures with cc,CIGNA CSD,96186.72,20107.4,60025.54,80545.13,57712.03
17 (tie),8/30/2021,Barnes-Jewish Hospital,26,ms-drg,craniotomy and endovascular intracranial procedures with cc,CIGNA OPEN ACCESS,96186.72,20107.4,52470,80545.13,57712.03
17 (tie),8/30/2021,Barnes-Jewish Hospital,26,ms-drg,craniotomy and endovascular intracranial procedures with cc,TRICARE,96186.72,20107.4,20107.4,80545.13,57712.03
17 (tie),8/30/2021,Barnes-Jewish Hospital,26,ms-drg,craniotomy and endovascular intracranial procedures with cc,UHC MEDICARE,96186.72,20107.4,23847.01,80545.13,57712.03
17 (tie),8/30/2021,Barnes-Jewish Hospital,27,ms-drg,craniotomy and endovascular intracranial procedures without cc/mcc,ACCESS CHOICE PPO,85706.45,15921.79,41028.75,65244.62,51423.87
17 (tie),8/30/2021,Barnes-Jewish Hospital,27,ms-drg,craniotomy and endovascular intracranial procedures without cc/mcc,ACCESS PPO,85706.45,15921.79,46773.87,65244.62,51423.87
17 (tie),8/30/2021,Barnes-Jewish Hospital,27,ms-drg,craniotomy and endovascular intracranial procedures without cc/mcc,CIGNA OPEN ACCESS,85706.45,15921.79,47279.04,65244.62,51423.87
17 (tie),8/30/2021,Barnes-Jewish Hospital,27,ms-drg,craniotomy and endovascular intracranial procedures without cc/mcc,CONNECT NETWORK,85706.45,15921.79,38863.54,65244.62,51423.87
17 (tie),8/30/2021,Barnes-Jewish Hospital,27,ms-drg,craniotomy and endovascular intracranial procedures without cc/mcc,HEALTHLINK HMO,85706.45,15921.79,65244.62,65244.62,51423.87
17 (tie),8/30/2021,Barnes-Jewish Hospital,27,ms-drg,craniotomy and endovascular intracranial procedures without cc/mcc,TRICARE,85706.45,15921.79,15921.79,65244.62,51423.87
17 (tie),8/30/2021,Barnes-Jewish Hospital,29,ms-drg,spinal procedures with cc or spinal neurostimulators,ACCESS PPO,126016.69,39788,39788,50613,75610.01
17 (tie),8/30/2021,Barnes-Jewish Hospital,30,ms-drg,spinal procedures without cc/mcc,ACCESS PPO,58923.98,12742.2,40387.64,50613,35354.39
17 (tie),8/30/2021,Barnes-Jewish Hospital,39,ms-drg,extracranial procedures without cc/mcc,UHC MEDICARE,35395.45,5763.36,9631.11,16989.49,21237.27
17 (tie),8/30/2021,Barnes-Jewish Hospital,40,ms-drg,"peripheral, cranial nerve and other nervous system procedures with mcc",UHC MEDICARE,104087.34,30261.16,30261.16,35420.9,62452.4
17 (tie),8/30/2021,Barnes-Jewish Hospital,41,ms-drg,"peripheral, cranial nerve and other nervous system procedures with cc or peripheral neurostimulator",AETNA LOCAL NON LOCAL,64685.73,18100.5,25360,47009.93,38811.44
17 (tie),8/30/2021,Barnes-Jewish Hospital,41,ms-drg,"peripheral, cranial nerve and other nervous system procedures with cc or peripheral neurostimulator",UHC,64685.73,18100.5,18100.5,47009.93,38811.44
17 (tie),8/30/2021,Barnes-Jewish Hospital,42,ms-drg,"peripheral, cranial nerve and other nervous system procedures without cc/mcc",ACCESS CHOICE PPO,55370.35,6568.13,32048.64,38949.56,33222.21
17 (tie),8/30/2021,Barnes-Jewish Hospital,42,ms-drg,"peripheral, cranial nerve and other nervous system procedures without cc/mcc",ANTHEM ACCESS,55370.35,6568.13,38949.56,38949.56,33222.21
17 (tie),8/30/2021,Barnes-Jewish Hospital,42,ms-drg,"peripheral, cranial nerve and other nervous system procedures without cc/mcc",HEALTH ALLIANCE HMO,55370.35,6568.13,33552.24,38949.56,33222.21
17 (tie),8/30/2021,Barnes-Jewish Hospital,42,ms-drg,"peripheral, cranial nerve and other nervous system procedures without cc/mcc",TRICARE,55370.35,6568.13,12418.74,38949.56,33222.21
17 (tie),8/30/2021,Barnes-Jewish Hospital,42,ms-drg,"peripheral, cranial nerve and other nervous system procedures without cc/mcc",UHC,55370.35,6568.13,16532.5,38949.56,33222.21
17 (tie),8/30/2021,Barnes-Jewish Hospital,42,ms-drg,"peripheral, cranial nerve and other nervous system procedures without cc/mcc",UHC COMMUNITY PLAN,55370.35,6568.13,6568.13,38949.56,33222.21
17 (tie),8/30/2021,Barnes-Jewish Hospital,54,ms-drg,nervous system neoplasms with mcc,AETNA MEDICARE,37860.45,9276.56,10507.83,29316,22716.27
17 (tie),8/30/2021,Barnes-Jewish Hospital,54,ms-drg,nervous system neoplasms with mcc,CONNECT NETWORK,37860.45,9276.56,17867.31,29316,22716.27
17 (tie),8/30/2021,Barnes-Jewish Hospital,55,ms-drg,nervous system neoplasms without mcc,UHC,35749.05,11438,11438,11438,21449.43
17 (tie),8/30/2021,Barnes-Jewish Hospital,57,ms-drg,degenerative nervous system disorders without mcc,ADVANTRA,19209.92,10000.86,10000.86,10183.29,11525.95
17 (tie),8/30/2021,Barnes-Jewish Hospital,57,ms-drg,degenerative nervous system disorders without mcc,UHC MEDICARE,19209.92,10000.86,10183.29,10183.29,11525.95
17 (tie),8/30/2021,Barnes-Jewish Hospital,60,ms-drg,multiple sclerosis and cerebellar ataxia without cc/mcc,UHC,23859.73,10574.28,10574.28,10574.28,14315.84
17 (tie),8/30/2021,Barnes-Jewish Hospital,63,ms-drg,"ischemic stroke, precerebral occlusion or transient ischemia with thrombolytic agent without cc/mcc",UHC,57910.74,5340,5340,5340,34746.44
17 (tie),8/30/2021,Barnes-Jewish Hospital,64,ms-drg,intracranial hemorrhage or cerebral infarction with mcc,ACCESS PPO,47326.97,10344.36,47646.07,47646.07,28396.18
17 (tie),8/30/2021,Barnes-Jewish Hospital,64,ms-drg,intracranial hemorrhage or cerebral infarction with mcc,AETNA MCR GOLD,47326.97,10344.36,14343.49,47646.07,28396.18
17 (tie),8/30/2021,Barnes-Jewish Hospital,64,ms-drg,intracranial hemorrhage or cerebral infarction with mcc,CONNECT NETWORK,47326.97,10344.36,12218,47646.07,28396.18
17 (tie),8/30/2021,Barnes-Jewish Hospital,65,ms-drg,intracranial hemorrhage or cerebral infarction with cc or tpa in 24 hours,ADVANTRA,28600.05,8082.64,8824.9,30915,17160.03
17 (tie),8/30/2021,Barnes-Jewish Hospital,65,ms-drg,intracranial hemorrhage or cerebral infarction with cc or tpa in 24 hours,CIGNA OPEN ACCESS,28600.05,8082.64,22441.73,30915,17160.03
17 (tie),8/30/2021,Barnes-Jewish Hospital,65,ms-drg,intracranial hemorrhage or cerebral infarction with cc or tpa in 24 hours,UHC,28600.05,8082.64,30915,30915,17160.03
17 (tie),8/30/2021,Barnes-Jewish Hospital,65,ms-drg,intracranial hemorrhage or cerebral infarction with cc or tpa in 24 hours,UHC MEDICARE,28600.05,8082.64,8823.59,30915,17160.03
17 (tie),8/30/2021,Barnes-Jewish Hospital,66,ms-drg,intracranial hemorrhage or cerebral infarction without cc/mcc,ACCESS CHOICE PPO,22538.53,5273.2,16068.33,19330.85,13523.12
17 (tie),8/30/2021,Barnes-Jewish Hospital,66,ms-drg,intracranial hemorrhage or cerebral infarction without cc/mcc,CONNECT NETWORK,22538.53,5273.2,12261.11,19330.85,13523.12
17 (tie),8/30/2021,Barnes-Jewish Hospital,69,ms-drg,transient ischemia without thrombolytic,TRICARE,18770.75,4926.57,5439.85,14840,11262.45
17 (tie),8/30/2021,Barnes-Jewish Hospital,71,ms-drg,nonspecific cerebrovascular disorders with cc,ACCESS PPO,29576.4,6256,26867.68,26867.68,17745.84
17 (tie),8/30/2021,Barnes-Jewish Hospital,71,ms-drg,nonspecific cerebrovascular disorders with cc,UHC,29576.4,6256,6256,26867.68,17745.84
17 (tie),8/30/2021,Barnes-Jewish Hospital,74,ms-drg,cranial and peripheral nerve disorders without mcc,ACCESS PPO,18102.78,6059.42,19303.64,19303.64,10861.67
17 (tie),8/30/2021,Barnes-Jewish Hospital,74,ms-drg,cranial and peripheral nerve disorders without mcc,CONNECT NETWORK,18102.78,6059.42,11824.36,19303.64,10861.67
17 (tie),8/30/2021,Barnes-Jewish Hospital,74,ms-drg,cranial and peripheral nerve disorders without mcc,UHC,18102.78,6059.42,9772,19303.64,10861.67
17 (tie),8/30/2021,Barnes-Jewish Hospital,82,ms-drg,traumatic stupor and coma >1 hour with mcc,UHC,59756.6,39858,39858,39858,35853.96
17 (tie),8/30/2021,Barnes-Jewish Hospital,83,ms-drg,traumatic stupor and coma >1 hour with cc,UHC,43812.4,9652.95,21245.79,21245.79,26287.44
17 (tie),8/30/2021,Barnes-Jewish Hospital,84,ms-drg,traumatic stupor and coma >1 hour without cc/mcc,UHC,37927.6,7859.98,16056.5,16056.5,22756.56
17 (tie),8/30/2021,Barnes-Jewish Hospital,86,ms-drg,traumatic stupor and coma <1 hour with cc,AETNA MCR GOLD,42462.38,9988.44,10257.36,19126.15,25477.43
17 (tie),8/30/2021,Barnes-Jewish Hospital,86,ms-drg,traumatic stupor and coma <1 hour with cc,AETNA MEDICARE,42462.38,9988.44,9988.44,19126.15,25477.43
17 (tie),8/30/2021,Barnes-Jewish Hospital,86,ms-drg,traumatic stupor and coma <1 hour with cc,UHC MEDICARE,42462.38,9988.44,10289.97,19126.15,25477.43
17 (tie),8/30/2021,Barnes-Jewish Hospital,87,ms-drg,traumatic stupor and coma <1 hour without cc/mcc,UHC,36805.95,7392.04,7944,7944,22083.57
17 (tie),8/30/2021,Barnes-Jewish Hospital,91,ms-drg,other disorders of nervous system with mcc,UHC,42118.88,12907.14,34351.41,34351.41,25271.33
17 (tie),8/30/2021,Barnes-Jewish Hospital,91,ms-drg,other disorders of nervous system with mcc,UHC MEDICARE,42118.88,12907.14,12907.14,34351.41,25271.33
17 (tie),8/30/2021,Barnes-Jewish Hospital,92,ms-drg,other disorders of nervous system with cc,ACCESS PPO,27310.3,3269.5,22220.24,22220.24,16386.18
17 (tie),8/30/2021,Barnes-Jewish Hospital,92,ms-drg,other disorders of nervous system with cc,TRICARE,27310.3,3269.5,3269.5,22220.24,16386.18
17 (tie),8/30/2021,Barnes-Jewish Hospital,92,ms-drg,other disorders of nervous system with cc,UHC,27310.3,3269.5,14658,22220.24,16386.18
17 (tie),8/30/2021,Barnes-Jewish Hospital,92,ms-drg,other disorders of nervous system with cc,UHC MEDICARE,27310.3,3269.5,8123.55,22220.24,16386.18
17 (tie),8/30/2021,Barnes-Jewish Hospital,100,ms-drg,seizures with mcc,UHC,43311.35,8040,21296.78,47074.69,25986.81
17 (tie),8/30/2021,Barnes-Jewish Hospital,101,ms-drg,seizures without mcc,ACCESS CHOICE PPO,23738.58,5098.64,17833.13,21799.64,14243.15
17 (tie),8/30/2021,Barnes-Jewish Hospital,101,ms-drg,seizures without mcc,AETNA LOCAL NON LOCAL,23738.58,5098.64,12578.02,21799.64,14243.15
17 (tie),8/30/2021,Barnes-Jewish Hospital,101,ms-drg,seizures without mcc,AETNA MCR GOLD,23738.58,5098.64,7679.87,21799.64,14243.15
17 (tie),8/30/2021,Barnes-Jewish Hospital,101,ms-drg,seizures without mcc,UHC,23738.58,5098.64,17701,21799.64,14243.15
17 (tie),8/30/2021,Barnes-Jewish Hospital,101,ms-drg,seizures without mcc,UHC MEDICARE,23738.58,5098.64,7583.23,21799.64,14243.15
17 (tie),8/30/2021,Barnes-Jewish Hospital,103,ms-drg,headaches without mcc,CONNECT NETWORK,19212.6,4197.66,5912,10364,11527.56
17 (tie),8/30/2021,Barnes-Jewish Hospital,103,ms-drg,headaches without mcc,TRICARE,19212.6,4197.66,4197.66,10364,11527.56
17 (tie),8/30/2021,Barnes-Jewish Hospital,103,ms-drg,headaches without mcc,UHC,19212.6,4197.66,10364,10364,11527.56
17 (tie),8/30/2021,Barnes-Jewish Hospital,123,ms-drg,neurological eye disorders,UHC,25973.65,6851.59,15546.64,15546.64,15584.19
17 (tie),8/30/2021,Barnes-Jewish Hospital,124,ms-drg,other disorders of the eye with mcc,UHC,29076.8,14658,14658,14658,17446.08
17 (tie),8/30/2021,Barnes-Jewish Hospital,153,ms-drg,otitis media and uri without mcc,UHC,18542.45,10543.95,10543.95,10543.95,11125.47
17 (tie),8/30/2021,Barnes-Jewish Hospital,154,ms-drg,"other ear, nose, mouth and throat diagnoses with mcc",UHC MEDICARE,25863.5,11858.54,11858.54,11858.54,15518.1
17 (tie),8/30/2021,Barnes-Jewish Hospital,163,ms-drg,major chest procedures with mcc,ACCESS CHOICE PPO,112442.11,30269.59,57768.95,57768.95,67465.27
17 (tie),8/30/2021,Barnes-Jewish Hospital,164,ms-drg,major chest procedures with cc,ACCESS CHOICE PPO,62509.29,19435,40638.44,50307.02,37505.57
17 (tie),8/30/2021,Barnes-Jewish Hospital,164,ms-drg,major chest procedures with cc,HEALTH ALLIANCE HMO,62509.29,19435,36352.31,50307.02,37505.57
17 (tie),8/30/2021,Barnes-Jewish Hospital,164,ms-drg,major chest procedures with cc,UHC,62509.29,19435,30263,50307.02,37505.57
17 (tie),8/30/2021,Barnes-Jewish Hospital,165,ms-drg,major chest procedures without cc/mcc,ACCESS PPO,55219.86,14732.58,35037.45,35037.45,33131.92
17 (tie),8/30/2021,Barnes-Jewish Hospital,165,ms-drg,major chest procedures without cc/mcc,CONNECT NETWORK,55219.86,14732.58,19435,35037.45,33131.92
17 (tie),8/30/2021,Barnes-Jewish Hospital,165,ms-drg,major chest procedures without cc/mcc,UHC,55219.86,14732.58,28465,35037.45,33131.92
17 (tie),8/30/2021,Barnes-Jewish Hospital,166,ms-drg,other respiratory system o.r. procedures with mcc,UHC,73663.45,19212,19212,27805.15,44198.07
17 (tie),8/30/2021,Barnes-Jewish Hospital,167,ms-drg,other respiratory system o.r. procedures with cc,TRNPLT OPTUM,37080.78,11760.43,22011.95,22011.95,22248.47
17 (tie),8/30/2021,Barnes-Jewish Hospital,168,ms-drg,other respiratory system o.r. procedures without cc/mcc,CONNECT NETWORK,34907.99,7972,17801,17801,20944.79
17 (tie),8/30/2021,Barnes-Jewish Hospital,168,ms-drg,other respiratory system o.r. procedures without cc/mcc,UHC,34907.99,7972,7972,17801,20944.79
17 (tie),8/30/2021,Barnes-Jewish Hospital,175,ms-drg,pulmonary embolism with mcc or acute cor pulmonale,UHC,35098.9,8938.72,8938.72,23141.33,21059.34
17 (tie),8/30/2021,Barnes-Jewish Hospital,176,ms-drg,pulmonary embolism without mcc,ACCESS CHOICE PPO,24936.3,7645.63,13885,16947.93,14961.78
17 (tie),8/30/2021,Barnes-Jewish Hospital,176,ms-drg,pulmonary embolism without mcc,ACCESS PPO,24936.3,7645.63,16947.93,16947.93,14961.78
17 (tie),8/30/2021,Barnes-Jewish Hospital,177,ms-drg,respiratory infections and inflammations with mcc,ACCESS PPO,39035.3,14638.83,36120.11,36120.11,23421.18
17 (tie),8/30/2021,Barnes-Jewish Hospital,178,ms-drg,respiratory infections and inflammations with cc,ACCESS CHOICE PPO,24277.32,9379.76,17007.55,24551.45,14566.39
17 (tie),8/30/2021,Barnes-Jewish Hospital,178,ms-drg,respiratory infections and inflammations with cc,ACCESS PPO,24277.32,9379.76,24551.45,24551.45,14566.39
17 (tie),8/30/2021,Barnes-Jewish Hospital,178,ms-drg,respiratory infections and inflammations with cc,UHC,24277.32,9379.76,16837,24551.45,14566.39
17 (tie),8/30/2021,Barnes-Jewish Hospital,180,ms-drg,respiratory neoplasms with mcc,ACCESS CHOICE PPO,45672.09,8246,26764.47,69513.3,27403.25
17 (tie),8/30/2021,Barnes-Jewish Hospital,180,ms-drg,respiratory neoplasms with mcc,ACCESS PPO,45672.09,8246,69513.3,69513.3,27403.25
17 (tie),8/30/2021,Barnes-Jewish Hospital,180,ms-drg,respiratory neoplasms with mcc,ADVANTRA,45672.09,8246,15543.27,69513.3,27403.25
17 (tie),8/30/2021,Barnes-Jewish Hospital,180,ms-drg,respiratory neoplasms with mcc,AETNA LOCAL NON LOCAL,45672.09,8246,18864,69513.3,27403.25
17 (tie),8/30/2021,Barnes-Jewish Hospital,180,ms-drg,respiratory neoplasms with mcc,AETNA MCR GOLD,45672.09,8246,13858.89,69513.3,27403.25
17 (tie),8/30/2021,Barnes-Jewish Hospital,180,ms-drg,respiratory neoplasms with mcc,AETNA MEDICARE,45672.09,8246,13960.28,69513.3,27403.25
17 (tie),8/30/2021,Barnes-Jewish Hospital,180,ms-drg,respiratory neoplasms with mcc,TRICARE,45672.09,8246,12538.72,69513.3,27403.25
17 (tie),8/30/2021,Barnes-Jewish Hospital,180,ms-drg,respiratory neoplasms with mcc,UHC MEDICARE,45672.09,8246,14005.15,69513.3,27403.25
17 (tie),8/30/2021,Barnes-Jewish Hospital,181,ms-drg,respiratory neoplasms with cc,TRICARE,32838.96,8366.82,8366.82,30439.59,19703.38
17 (tie),8/30/2021,Barnes-Jewish Hospital,181,ms-drg,respiratory neoplasms with cc,UHC,32838.96,8366.82,30439.59,30439.59,19703.38
17 (tie),8/30/2021,Barnes-Jewish Hospital,184,ms-drg,major chest trauma with cc,AETNA MCR GOLD,42777.25,6921.35,7981.44,18553.82,25666.35
17 (tie),8/30/2021,Barnes-Jewish Hospital,184,ms-drg,major chest trauma with cc,UHC,42777.25,6921.35,18553.82,18553.82,25666.35
17 (tie),8/30/2021,Barnes-Jewish Hospital,186,ms-drg,pleural effusion with mcc,UHC MEDICARE,39360.55,12743.17,12743.17,12743.17,23616.33
17 (tie),8/30/2021,Barnes-Jewish Hospital,187,ms-drg,pleural effusion with cc,UHC MEDICARE,29061.46,8914.93,8914.93,8914.93,17436.88
17 (tie),8/30/2021,Barnes-Jewish Hospital,189,ms-drg,pulmonary edema and respiratory failure,ACCESS CHOICE PPO,30704.98,10235.55,19470.07,24053.15,18422.99
17 (tie),8/30/2021,Barnes-Jewish Hospital,189,ms-drg,pulmonary edema and respiratory failure,ACCESS PPO,30704.98,10235.55,23802.93,24053.15,18422.99
17 (tie),8/30/2021,Barnes-Jewish Hospital,189,ms-drg,pulmonary edema and respiratory failure,AETNA LOCAL NON LOCAL,30704.98,10235.55,13709.41,24053.15,18422.99
17 (tie),8/30/2021,Barnes-Jewish Hospital,189,ms-drg,pulmonary edema and respiratory failure,UHC,30704.98,10235.55,24053.15,24053.15,18422.99
17 (tie),8/30/2021,Barnes-Jewish Hospital,189,ms-drg,pulmonary edema and respiratory failure,UHC MEDICARE,30704.98,10235.55,10235.55,24053.15,18422.99
17 (tie),8/30/2021,Barnes-Jewish Hospital,190,ms-drg,chronic obstructive pulmonary disease with mcc,ACCESS PPO,24592.38,9722.23,19302.59,19302.59,14755.43
17 (tie),8/30/2021,Barnes-Jewish Hospital,190,ms-drg,chronic obstructive pulmonary disease with mcc,AETNA MCR GOLD,24592.38,9722.23,9732.11,19302.59,14755.43
17 (tie),8/30/2021,Barnes-Jewish Hospital,190,ms-drg,chronic obstructive pulmonary disease with mcc,UHC,24592.38,9722.23,15558.81,19302.59,14755.43
17 (tie),8/30/2021,Barnes-Jewish Hospital,190,ms-drg,chronic obstructive pulmonary disease with mcc,UHC MEDICARE,24592.38,9722.23,9722.23,19302.59,14755.43
17 (tie),8/30/2021,Barnes-Jewish Hospital,191,ms-drg,chronic obstructive pulmonary disease with cc,ACCESS PPO,17783.45,7880.29,17372,17372,10670.07
17 (tie),8/30/2021,Barnes-Jewish Hospital,192,ms-drg,chronic obstructive pulmonary disease without cc/mcc,UHC MEDICARE,15513.1,6510.73,6510.73,6510.73,9307.86
17 (tie),8/30/2021,Barnes-Jewish Hospital,193,ms-drg,simple pneumonia and pleurisy with mcc,UHC MEDICARE,30165.65,10836.52,10836.52,33788.56,18099.39
17 (tie),8/30/2021,Barnes-Jewish Hospital,194,ms-drg,simple pneumonia and pleurisy with cc,CONNECT NETWORK,21644.15,7776.34,10705.8,18434.25,12986.49
17 (tie),8/30/2021,Barnes-Jewish Hospital,196,ms-drg,interstitial lung disease with mcc,ACCESS PPO,41321.9,13637.47,30226.76,30226.76,24793.14
17 (tie),8/30/2021,Barnes-Jewish Hospital,196,ms-drg,interstitial lung disease with mcc,TRNPLT OPTUM,41321.9,13637.47,22831.14,30226.76,24793.14
17 (tie),8/30/2021,Barnes-Jewish Hospital,199,ms-drg,pneumothorax with mcc,UHC MEDICARE,48089.7,14426.77,14426.77,14426.77,28853.82
17 (tie),8/30/2021,Barnes-Jewish Hospital,200,ms-drg,pneumothorax with cc,CIGNA OPEN ACCESS,34900.4,17037.42,17037.42,28675.17,20940.24
17 (tie),8/30/2021,Barnes-Jewish Hospital,200,ms-drg,pneumothorax with cc,UHC,34900.4,17037.42,28675.17,28675.17,20940.24
17 (tie),8/30/2021,Barnes-Jewish Hospital,202,ms-drg,bronchitis and asthma with cc/mcc,CONNECT NETWORK,23125.7,8235.05,8868,17531.03,13875.42
17 (tie),8/30/2021,Barnes-Jewish Hospital,205,ms-drg,other respiratory system diagnoses with mcc,ACCESS PPO,41637.64,11300.84,26501.74,29644.98,24982.58
17 (tie),8/30/2021,Barnes-Jewish Hospital,205,ms-drg,other respiratory system diagnoses with mcc,CONNECT NETWORK,41637.64,11300.84,19475.86,29644.98,24982.58
