Description,"Code 
Type","CPT/HCPCS 
DRG Code","Code
CDM/ERX/SUP",NDC,"Revenue
Code",Quantity,IP XR Aetna,IP XR Anthem,"IP XR
Blue Shield","IP XR
Cigna","IP XR
Health Net","IP XR
Kaiser","IP XR
United",Min,Max
Cranio w major dev impl/acute complex CNS PDX,DRG,MS-DRG V37 (FY2020) 024,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,70716.11037,Variable,Variable
Craniotomy & endovascular intracranial procedures,DRG,MS-DRG V37 (FY2020) 025,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,130544.018,Variable,Variable
Craniotomy & endovascular intracranial procedures,DRG,MS-DRG V37 (FY2020) 026,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,97283.60666,Variable,Variable
Craniotomy & endovascular intracranial procedures,DRG,MS-DRG V37 (FY2020) 027,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,86703.36747,Variable,Variable
Spinal procedures,DRG,MS-DRG V37 (FY2020) 028,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,171406.3645,Variable,Variable
Spinal procedures,DRG,MS-DRG V37 (FY2020) 029,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,68449.69548,Variable,Variable
Spinal procedures,DRG,MS-DRG V37 (FY2020) 030,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,78093.38629,Variable,Variable
Ventricular shunt procedures,DRG,MS-DRG V37 (FY2020) 031,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,76216.08061,Variable,Variable
Ventricular shunt procedures,DRG,MS-DRG V37 (FY2020) 032,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,40390.3818,Variable,Variable
Ventricular shunt procedures,DRG,MS-DRG V37 (FY2020) 033,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,39202.94573,Variable,Variable
Carotid artery stent procedure,DRG,MS-DRG V37 (FY2020) 034,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,89818.12893,Variable,Variable
Carotid artery stent procedure,DRG,MS-DRG V37 (FY2020) 035,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,56931.56169,Variable,Variable
Carotid artery stent procedure,DRG,MS-DRG V37 (FY2020) 036,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,56931.56169,Variable,Variable
Extracranial procedures,DRG,MS-DRG V37 (FY2020) 037,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,296836.9528,Variable,Variable
Extracranial procedures,DRG,MS-DRG V37 (FY2020) 038,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,75957.77313,Variable,Variable
Extracranial procedures,DRG,MS-DRG V37 (FY2020) 039,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,34174.46827,Variable,Variable
Periph/cranial nerve & other nerv syst proc,DRG,MS-DRG V37 (FY2020) 040,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,105903.6382,Variable,Variable
Periph/cranial nerve & other nerv syst proc,DRG,MS-DRG V37 (FY2020) 041,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,66228.85927,Variable,Variable
Periph/cranial nerve & other nerv syst proc,DRG,MS-DRG V37 (FY2020) 042,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,27675.34184,Variable,Variable
Spinal disorders & injuries,DRG,MS-DRG V37 (FY2020) 052,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,25449.88664,Variable,Variable
Spinal disorders & injuries,DRG,MS-DRG V37 (FY2020) 053,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,17688.7472,Variable,Variable
Nervous system neoplasms,DRG,MS-DRG V37 (FY2020) 054,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,42090.14654,Variable,Variable
Nervous system neoplasms,DRG,MS-DRG V37 (FY2020) 055,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,39978.10802,Variable,Variable
Degenerative nervous system disorders,DRG,MS-DRG V37 (FY2020) 056,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,70395.26471,Variable,Variable
Degenerative nervous system disorders,DRG,MS-DRG V37 (FY2020) 057,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,53946.78956,Variable,Variable
Multiple sclerosis & cerebellar ataxia,DRG,MS-DRG V37 (FY2020) 058,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,158102.0128,Variable,Variable
Multiple sclerosis & cerebellar ataxia,DRG,MS-DRG V37 (FY2020) 059,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,58889.03042,Variable,Variable
Multiple sclerosis & cerebellar ataxia,DRG,MS-DRG V37 (FY2020) 060,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,51767.4314,Variable,Variable
Acute ischemic stroke w use of thrombolytic agent,DRG,MS-DRG V37 (FY2020) 061,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,135124.5773,Variable,Variable
Acute ischemic stroke w use of thrombolytic agent,DRG,MS-DRG V37 (FY2020) 062,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,83525.27093,Variable,Variable
Acute ischemic stroke w use of thrombolytic agent,DRG,MS-DRG V37 (FY2020) 063,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,118537.1224,Variable,Variable
Intracranial hemorrhage or cerebral infarction,DRG,MS-DRG V37 (FY2020) 064,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,61290.5488,Variable,Variable
Intracranial hemorrhage or cerebral infarction,DRG,MS-DRG V37 (FY2020) 065,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,51007.00036,Variable,Variable
Intracranial hemorrhage or cerebral infarction,DRG,MS-DRG V37 (FY2020) 066,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,38717.66561,Variable,Variable
Nonspecific CVA & precerebral occlusion w/o infarct,DRG,MS-DRG V37 (FY2020) 067,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,23767.32125,Variable,Variable
Transient ischemia,DRG,MS-DRG V37 (FY2020) 069,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,40412.76494,Variable,Variable
Nonspecific cerebrovascular disorders,DRG,MS-DRG V37 (FY2020) 070,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,31080.42649,Variable,Variable
Nonspecific cerebrovascular disorders,DRG,MS-DRG V37 (FY2020) 071,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,37241.15975,Variable,Variable
Nonspecific cerebrovascular disorders,DRG,MS-DRG V37 (FY2020) 072,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,12141.6122,Variable,Variable
Cranial & peripheral nerve disorders,DRG,MS-DRG V37 (FY2020) 073,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,75846.32938,Variable,Variable
Cranial & peripheral nerve disorders,DRG,MS-DRG V37 (FY2020) 074,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,36446.6859,Variable,Variable
Viral meningitis,DRG,MS-DRG V37 (FY2020) 075,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,24077.544,Variable,Variable
Viral meningitis,DRG,MS-DRG V37 (FY2020) 076,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,15880.20024,Variable,Variable
Hypertensive encephalopathy,DRG,MS-DRG V37 (FY2020) 077,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,59894.67021,Variable,Variable
Hypertensive encephalopathy,DRG,MS-DRG V37 (FY2020) 078,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,87368.87327,Variable,Variable
Hypertensive encephalopathy,DRG,MS-DRG V37 (FY2020) 079,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,20510.787,Variable,Variable
Nontraumatic stupor & coma,DRG,MS-DRG V37 (FY2020) 080,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,489108.8071,Variable,Variable
Nontraumatic stupor & coma,DRG,MS-DRG V37 (FY2020) 081,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,23286.00248,Variable,Variable
"Traumatic stupor & coma, coma >1 hr",DRG,MS-DRG V37 (FY2020) 082,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,74023.08986,Variable,Variable
"Traumatic stupor & coma, coma >1 hr",DRG,MS-DRG V37 (FY2020) 083,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,50919.36336,Variable,Variable
"Traumatic stupor & coma, coma >1 hr",DRG,MS-DRG V37 (FY2020) 084,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,64445.3415,Variable,Variable
"Traumatic stupor & coma, coma <1 hr",DRG,MS-DRG V37 (FY2020) 085,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,118502.1203,Variable,Variable
"Traumatic stupor & coma, coma <1 hr",DRG,MS-DRG V37 (FY2020) 086,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,67497.78143,Variable,Variable
"Traumatic stupor & coma, coma <1 hr",DRG,MS-DRG V37 (FY2020) 087,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,26310.4422,Variable,Variable
Concussion,DRG,MS-DRG V37 (FY2020) 088,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,42774.03545,Variable,Variable
Concussion,DRG,MS-DRG V37 (FY2020) 089,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,53538.46165,Variable,Variable
Concussion,DRG,MS-DRG V37 (FY2020) 090,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,34259.46695,Variable,Variable
Other disorders of nervous system,DRG,MS-DRG V37 (FY2020) 091,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,61602.63617,Variable,Variable
Other disorders of nervous system,DRG,MS-DRG V37 (FY2020) 092,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,28350.15525,Variable,Variable
Other disorders of nervous system,DRG,MS-DRG V37 (FY2020) 093,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,36645.96007,Variable,Variable
Bacterial & tuberculous infections of nervous system,DRG,MS-DRG V37 (FY2020) 094,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,111620.0046,Variable,Variable
Bacterial & tuberculous infections of nervous system,DRG,MS-DRG V37 (FY2020) 095,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,130531.0895,Variable,Variable
Bacterial & tuberculous infections of nervous system,DRG,MS-DRG V37 (FY2020) 096,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,95971.49656,Variable,Variable
Non-bacterial infect of nervous sys exc viral meningitis,DRG,MS-DRG V37 (FY2020) 097,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,284707.6734,Variable,Variable
Non-bacterial infect of nervous sys exc viral meningitis,DRG,MS-DRG V37 (FY2020) 098,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,61054.9881,Variable,Variable
Non-bacterial infect of nervous sys exc viral meningitis,DRG,MS-DRG V37 (FY2020) 099,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,35629.96044,Variable,Variable
Seizures,DRG,MS-DRG V37 (FY2020) 100,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,44759.24907,Variable,Variable
Seizures,DRG,MS-DRG V37 (FY2020) 101,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,27525.36784,Variable,Variable
Headaches,DRG,MS-DRG V37 (FY2020) 102,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,14148.07163,Variable,Variable
Headaches,DRG,MS-DRG V37 (FY2020) 103,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,39896.17319,Variable,Variable
Orbital procedures,DRG,MS-DRG V37 (FY2020) 113,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,74850.80959,Variable,Variable
Orbital procedures,DRG,MS-DRG V37 (FY2020) 114,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,24003.03669,Variable,Variable
Extraocular procedures except orbit,DRG,MS-DRG V37 (FY2020) 115,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,24946.94295,Variable,Variable
Intraocular procedures,DRG,MS-DRG V37 (FY2020) 116,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,48456.81553,Variable,Variable
Intraocular procedures,DRG,MS-DRG V37 (FY2020) 117,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,19862.37224,Variable,Variable
Acute major eye infections,DRG,MS-DRG V37 (FY2020) 121,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,34748.12039,Variable,Variable
Acute major eye infections,DRG,MS-DRG V37 (FY2020) 122,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,18204.33314,Variable,Variable
Neurological eye disorders,DRG,MS-DRG V37 (FY2020) 123,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,38841.00113,Variable,Variable
Other disorders of the eye,DRG,MS-DRG V37 (FY2020) 124,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,32099.04896,Variable,Variable
Other disorders of the eye,DRG,MS-DRG V37 (FY2020) 125,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,28225.86034,Variable,Variable
Major head & neck procedures,DRG,MS-DRG V37 (FY2020) 129,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,91162.67253,Variable,Variable
Major head & neck procedures,DRG,MS-DRG V37 (FY2020) 130,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,58094.50242,Variable,Variable
Cranial/facial procedures,DRG,MS-DRG V37 (FY2020) 131,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,71380.14613,Variable,Variable
Cranial/facial procedures,DRG,MS-DRG V37 (FY2020) 132,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,48057.8107,Variable,Variable
"Other ear, nose, mouth & throat O.R. procedures",DRG,MS-DRG V37 (FY2020) 133,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,50132.95921,Variable,Variable
"Other ear, nose, mouth & throat O.R. procedures",DRG,MS-DRG V37 (FY2020) 134,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,41266.56611,Variable,Variable
Sinus & mastoid procedures,DRG,MS-DRG V37 (FY2020) 135,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,54810.90415,Variable,Variable
Sinus & mastoid procedures,DRG,MS-DRG V37 (FY2020) 136,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,31289.58081,Variable,Variable
Mouth procedures,DRG,MS-DRG V37 (FY2020) 137,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,41511.72069,Variable,Variable
Mouth procedures,DRG,MS-DRG V37 (FY2020) 138,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,29158.82649,Variable,Variable
Salivary gland procedures,DRG,MS-DRG V37 (FY2020) 139,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,33438.06061,Variable,Variable
"Ear, nose, mouth & throat malignancy",DRG,MS-DRG V37 (FY2020) 146,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,76984.44208,Variable,Variable
"Ear, nose, mouth & throat malignancy",DRG,MS-DRG V37 (FY2020) 147,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,99993.08084,Variable,Variable
Dysequilibrium,DRG,MS-DRG V37 (FY2020) 149,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,37222.92364,Variable,Variable
Epistaxis,DRG,MS-DRG V37 (FY2020) 150,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,116465.8656,Variable,Variable
Epistaxis,DRG,MS-DRG V37 (FY2020) 151,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,18262.9796,Variable,Variable
Otitis media & URI,DRG,MS-DRG V37 (FY2020) 152,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,25331.16237,Variable,Variable
Otitis media & URI,DRG,MS-DRG V37 (FY2020) 153,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,19687.67078,Variable,Variable
"Other ear, nose, mouth & throat diagnoses",DRG,MS-DRG V37 (FY2020) 154,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,69220.29295,Variable,Variable
"Other ear, nose, mouth & throat diagnoses",DRG,MS-DRG V37 (FY2020) 155,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,18848.68598,Variable,Variable
"Other ear, nose, mouth & throat diagnoses",DRG,MS-DRG V37 (FY2020) 156,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,20178.01089,Variable,Variable
Dental & oral diseases,DRG,MS-DRG V37 (FY2020) 157,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,53453.81114,Variable,Variable
Dental & oral diseases,DRG,MS-DRG V37 (FY2020) 158,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,33276.21804,Variable,Variable
Dental & oral diseases,DRG,MS-DRG V37 (FY2020) 159,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,24882.95023,Variable,Variable
Major chest procedures,DRG,MS-DRG V37 (FY2020) 163,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,171451.0612,Variable,Variable
Major chest procedures,DRG,MS-DRG V37 (FY2020) 164,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,90413.02686,Variable,Variable
Major chest procedures,DRG,MS-DRG V37 (FY2020) 165,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,71135.33971,Variable,Variable
Other resp system O.R. procedures,DRG,MS-DRG V37 (FY2020) 166,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,121755.552,Variable,Variable
Other resp system O.R. procedures,DRG,MS-DRG V37 (FY2020) 167,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,54889.34959,Variable,Variable
Other resp system O.R. procedures,DRG,MS-DRG V37 (FY2020) 168,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,49320.14093,Variable,Variable
Pulmonary embolism,DRG,MS-DRG V37 (FY2020) 175,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,49386.69461,Variable,Variable
Pulmonary embolism,DRG,MS-DRG V37 (FY2020) 176,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,32175.13462,Variable,Variable
Respiratory infections & inflammations,DRG,MS-DRG V37 (FY2020) 177,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,55299.12432,Variable,Variable
Respiratory infections & inflammations,DRG,MS-DRG V37 (FY2020) 178,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,24800.9535,Variable,Variable
Respiratory infections & inflammations,DRG,MS-DRG V37 (FY2020) 179,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,25824.78297,Variable,Variable
Respiratory neoplasms,DRG,MS-DRG V37 (FY2020) 180,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,85567.04976,Variable,Variable
Respiratory neoplasms,DRG,MS-DRG V37 (FY2020) 181,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,49961.07401,Variable,Variable
Respiratory neoplasms,DRG,MS-DRG V37 (FY2020) 182,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,27268.50717,Variable,Variable
Major chest trauma,DRG,MS-DRG V37 (FY2020) 183,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,72359.82054,Variable,Variable
Major chest trauma,DRG,MS-DRG V37 (FY2020) 184,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,35659.84847,Variable,Variable
Major chest trauma,DRG,MS-DRG V37 (FY2020) 185,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,32794.70585,Variable,Variable
Pleural effusion,DRG,MS-DRG V37 (FY2020) 186,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,68543.8393,Variable,Variable
Pleural effusion,DRG,MS-DRG V37 (FY2020) 187,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,47737.2281,Variable,Variable
Pleural effusion,DRG,MS-DRG V37 (FY2020) 188,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,38222.07982,Variable,Variable
Pulmonary edema & respiratory failure,DRG,MS-DRG V37 (FY2020) 189,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,48986.0418,Variable,Variable
Chronic obstructive pulmonary disease,DRG,MS-DRG V37 (FY2020) 190,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,55170.2878,Variable,Variable
Chronic obstructive pulmonary disease,DRG,MS-DRG V37 (FY2020) 191,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,22174.21105,Variable,Variable
Chronic obstructive pulmonary disease,DRG,MS-DRG V37 (FY2020) 192,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,34941.28234,Variable,Variable
Simple pneumonia & pleurisy,DRG,MS-DRG V37 (FY2020) 193,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,48929.96402,Variable,Variable
Simple pneumonia & pleurisy,DRG,MS-DRG V37 (FY2020) 194,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,20707.77102,Variable,Variable
Simple pneumonia & pleurisy,DRG,MS-DRG V37 (FY2020) 195,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,13765.1675,Variable,Variable
Interstitial lung disease,DRG,MS-DRG V37 (FY2020) 196,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,75602.64483,Variable,Variable
Interstitial lung disease,DRG,MS-DRG V37 (FY2020) 197,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,24398.26586,Variable,Variable
Interstitial lung disease,DRG,MS-DRG V37 (FY2020) 198,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,10896.86817,Variable,Variable
Pneumothorax,DRG,MS-DRG V37 (FY2020) 199,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,92380.12043,Variable,Variable
Pneumothorax,DRG,MS-DRG V37 (FY2020) 200,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,44032.48945,Variable,Variable
Pneumothorax,DRG,MS-DRG V37 (FY2020) 201,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,10355.2008,Variable,Variable
Bronchitis & asthma,DRG,MS-DRG V37 (FY2020) 202,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,44991.4287,Variable,Variable
Bronchitis & asthma,DRG,MS-DRG V37 (FY2020) 203,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,42618.43664,Variable,Variable
Respiratory signs & symptoms,DRG,MS-DRG V37 (FY2020) 204,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,18233.04515,Variable,Variable
Other respiratory system diagnoses,DRG,MS-DRG V37 (FY2020) 205,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,54310.79994,Variable,Variable
Other respiratory system diagnoses,DRG,MS-DRG V37 (FY2020) 206,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,41293.35934,Variable,Variable
Respiratory system diagnosis w ventilator support >96 hours,DRG,MS-DRG V37 (FY2020) 207,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,296160.5456,Variable,Variable
Respiratory system diagnosis w ventilator support <=96 hours,DRG,MS-DRG V37 (FY2020) 208,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,109429.0332,Variable,Variable
Other heart assist system implant,DRG,MS-DRG V37 (FY2020) 215,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,364440.3443,Variable,Variable
Cardiac valve & oth maj cardiothoracic proc w card cath,DRG,MS-DRG V37 (FY2020) 216,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,401828.1976,Variable,Variable
Cardiac valve & oth maj cardiothoracic proc w card cath,DRG,MS-DRG V37 (FY2020) 217,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,256038.1193,Variable,Variable
Cardiac valve & oth maj cardiothoracic proc w card cath,DRG,MS-DRG V37 (FY2020) 218,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,187549.499,Variable,Variable
Cardiac valve & oth maj cardiothoracic proc w/o card cath,DRG,MS-DRG V37 (FY2020) 219,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,244445.0063,Variable,Variable
Cardiac valve & oth maj cardiothoracic proc w/o card cath,DRG,MS-DRG V37 (FY2020) 220,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,205728.4702,Variable,Variable
Cardiac valve & oth maj cardiothoracic proc w/o card cath,DRG,MS-DRG V37 (FY2020) 221,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,244525.2235,Variable,Variable
Cardiac defib implant w cardiac cath w AMI/HF/shock,DRG,MS-DRG V37 (FY2020) 222,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,506214.2774,Variable,Variable
