US News Ranking,Hospital Name,Billing Code Type,DRG Number,DRG Description,Payor,Plan,Charge Amount
7,New York-Presbyterian Hospital,MSDRG,122,ACUTE MAJOR EYE INFECTIONS WITHOUT CC/MCC,Gross Charge,Gross Charges,70769.82675
7,New York-Presbyterian Hospital,MSDRG,123,NEUROLOGICAL EYE DISORDERS,Gross Charge,Gross Charges,77327.6723533333
7,New York-Presbyterian Hospital,MSDRG,124,OTHER DISORDERS OF THE EYE WITH MCC,Gross Charge,Gross Charges,242531.4136740741
7,New York-Presbyterian Hospital,MSDRG,125,OTHER DISORDERS OF THE EYE WITHOUT MCC,Gross Charge,Gross Charges,80586.4654862745
7,New York-Presbyterian Hospital,MSDRG,135,SINUS AND MASTOID PROCEDURES WITH CC/MCC,Gross Charge,Gross Charges,146104.6266
7,New York-Presbyterian Hospital,MSDRG,136,SINUS AND MASTOID PROCEDURES WITHOUT CC/MCC,Gross Charge,Gross Charges,61297.5287
7,New York-Presbyterian Hospital,MSDRG,137,MOUTH PROCEDURES WITH CC/MCC,Gross Charge,Gross Charges,104001.4262384615
7,New York-Presbyterian Hospital,MSDRG,138,MOUTH PROCEDURES WITHOUT CC/MCC,Gross Charge,Gross Charges,152644.4131
7,New York-Presbyterian Hospital,MSDRG,139,SALIVARY GLAND PROCEDURES,Gross Charge,Gross Charges,64810.4136
7,New York-Presbyterian Hospital,MSDRG,140,MAJOR HEAD AND NECK PROCEDURES WITH MCC,Gross Charge,Gross Charges,361165.7677133334
7,New York-Presbyterian Hospital,MSDRG,141,MAJOR HEAD AND NECK PROCEDURES WITH CC,Gross Charge,Gross Charges,143024.19504
7,New York-Presbyterian Hospital,MSDRG,142,MAJOR HEAD AND NECK PROCEDURES WITHOUT CC/MCC,Gross Charge,Gross Charges,126788.7146634146
7,New York-Presbyterian Hospital,MSDRG,143,"OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITH MCC",Gross Charge,Gross Charges,481350.4795375
7,New York-Presbyterian Hospital,MSDRG,144,"OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITH CC",Gross Charge,Gross Charges,176920.132059375
7,New York-Presbyterian Hospital,MSDRG,145,"OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITHOUT CC/MCC",Gross Charge,Gross Charges,87315.713328
7,New York-Presbyterian Hospital,MSDRG,146,"EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITH MCC",Gross Charge,Gross Charges,360439.780025
7,New York-Presbyterian Hospital,MSDRG,147,"EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITH CC",Gross Charge,Gross Charges,100483.5165714286
7,New York-Presbyterian Hospital,MSDRG,148,"EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITHOUT CC/MCC",Gross Charge,Gross Charges,47262.9058
7,New York-Presbyterian Hospital,MSDRG,149,DYSEQUILIBRIUM,Gross Charge,Gross Charges,68529.1120664429
7,New York-Presbyterian Hospital,MSDRG,150,EPISTAXIS WITH MCC,Gross Charge,Gross Charges,138784.03328
7,New York-Presbyterian Hospital,MSDRG,151,EPISTAXIS WITHOUT MCC,Gross Charge,Gross Charges,77823.57384
7,New York-Presbyterian Hospital,MSDRG,152,OTITIS MEDIA AND URI WITH MCC,Gross Charge,Gross Charges,98917.8938108108
7,New York-Presbyterian Hospital,MSDRG,153,OTITIS MEDIA AND URI WITHOUT MCC,Gross Charge,Gross Charges,57057.2317550387
7,New York-Presbyterian Hospital,MSDRG,154,"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITH MCC",Gross Charge,Gross Charges,159436.25094
7,New York-Presbyterian Hospital,MSDRG,155,"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITH CC",Gross Charge,Gross Charges,86596.2524682927
7,New York-Presbyterian Hospital,MSDRG,156,"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITHOUT CC/MCC",Gross Charge,Gross Charges,51372.088325
7,New York-Presbyterian Hospital,MSDRG,157,DENTAL AND ORAL DISEASES WITH MCC,Gross Charge,Gross Charges,209083.97394375
7,New York-Presbyterian Hospital,MSDRG,158,DENTAL AND ORAL DISEASES WITH CC,Gross Charge,Gross Charges,88859.7457861111
7,New York-Presbyterian Hospital,MSDRG,159,DENTAL AND ORAL DISEASES WITHOUT CC/MCC,Gross Charge,Gross Charges,52491.495575
7,New York-Presbyterian Hospital,MSDRG,163,MAJOR CHEST PROCEDURES WITH MCC,Gross Charge,Gross Charges,455264.5292986393
7,New York-Presbyterian Hospital,MSDRG,164,MAJOR CHEST PROCEDURES WITH CC,Gross Charge,Gross Charges,161135.9830333334
7,New York-Presbyterian Hospital,MSDRG,165,MAJOR CHEST PROCEDURES WITHOUT CC/MCC,Gross Charge,Gross Charges,111008.4625333334
7,New York-Presbyterian Hospital,MSDRG,166,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH MCC,Gross Charge,Gross Charges,529185.7217051549
7,New York-Presbyterian Hospital,MSDRG,167,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH CC,Gross Charge,Gross Charges,144693.028964557
7,New York-Presbyterian Hospital,MSDRG,168,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITHOUT CC/MCC,Gross Charge,Gross Charges,133699.6555272728
7,New York-Presbyterian Hospital,MSDRG,175,PULMONARY EMBOLISM WITH MCC OR ACUTE COR PULMONALE,Gross Charge,Gross Charges,139892.8304877095
7,New York-Presbyterian Hospital,MSDRG,176,PULMONARY EMBOLISM WITHOUT MCC,Gross Charge,Gross Charges,73730.3916272251
7,New York-Presbyterian Hospital,MSDRG,177,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC,Gross Charge,Gross Charges,157692.7161482214
7,New York-Presbyterian Hospital,MSDRG,178,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH CC,Gross Charge,Gross Charges,102165.1279841808
7,New York-Presbyterian Hospital,MSDRG,179,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITHOUT CC/MCC,Gross Charge,Gross Charges,72759.2918010989
7,New York-Presbyterian Hospital,MSDRG,180,RESPIRATORY NEOPLASMS WITH MCC,Gross Charge,Gross Charges,173570.8481774834
7,New York-Presbyterian Hospital,MSDRG,181,RESPIRATORY NEOPLASMS WITH CC,Gross Charge,Gross Charges,111436.623879661
7,New York-Presbyterian Hospital,MSDRG,182,RESPIRATORY NEOPLASMS WITHOUT CC/MCC,Gross Charge,Gross Charges,69769.8885666667
7,New York-Presbyterian Hospital,MSDRG,183,MAJOR CHEST TRAUMA WITH MCC,Gross Charge,Gross Charges,143383.8805333333
7,New York-Presbyterian Hospital,MSDRG,184,MAJOR CHEST TRAUMA WITH CC,Gross Charge,Gross Charges,81098.3271272728
7,New York-Presbyterian Hospital,MSDRG,185,MAJOR CHEST TRAUMA WITHOUT CC/MCC,Gross Charge,Gross Charges,62886.5548588235
7,New York-Presbyterian Hospital,MSDRG,186,PLEURAL EFFUSION WITH MCC,Gross Charge,Gross Charges,165013.9119074074
7,New York-Presbyterian Hospital,MSDRG,187,PLEURAL EFFUSION WITH CC,Gross Charge,Gross Charges,102366.70312
7,New York-Presbyterian Hospital,MSDRG,188,PLEURAL EFFUSION WITHOUT CC/MCC,Gross Charge,Gross Charges,76660.2875714286
7,New York-Presbyterian Hospital,MSDRG,189,PULMONARY EDEMA AND RESPIRATORY FAILURE,Gross Charge,Gross Charges,153126.3357499999
7,New York-Presbyterian Hospital,MSDRG,190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH MCC,Gross Charge,Gross Charges,122252.5696403669
7,New York-Presbyterian Hospital,MSDRG,191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH CC,Gross Charge,Gross Charges,79490.6680506849
7,New York-Presbyterian Hospital,MSDRG,192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITHOUT CC/MCC,Gross Charge,Gross Charges,57386.6566021739
7,New York-Presbyterian Hospital,MSDRG,193,SIMPLE PNEUMONIA AND PLEURISY WITH MCC,Gross Charge,Gross Charges,129824.4866450134
7,New York-Presbyterian Hospital,MSDRG,194,SIMPLE PNEUMONIA AND PLEURISY WITH CC,Gross Charge,Gross Charges,85148.3661633093
7,New York-Presbyterian Hospital,MSDRG,195,SIMPLE PNEUMONIA AND PLEURISY WITHOUT CC/MCC,Gross Charge,Gross Charges,55861.6862836066
7,New York-Presbyterian Hospital,MSDRG,196,INTERSTITIAL LUNG DISEASE WITH MCC,Gross Charge,Gross Charges,195530.1644936171
7,New York-Presbyterian Hospital,MSDRG,197,INTERSTITIAL LUNG DISEASE WITH CC,Gross Charge,Gross Charges,91301.2369771428
7,New York-Presbyterian Hospital,MSDRG,198,INTERSTITIAL LUNG DISEASE WITHOUT CC/MCC,Gross Charge,Gross Charges,65449.1394
7,New York-Presbyterian Hospital,MSDRG,199,PNEUMOTHORAX WITH MCC,Gross Charge,Gross Charges,204597.4243846154
7,New York-Presbyterian Hospital,MSDRG,200,PNEUMOTHORAX WITH CC,Gross Charge,Gross Charges,98188.6176891304
7,New York-Presbyterian Hospital,MSDRG,201,PNEUMOTHORAX WITHOUT CC/MCC,Gross Charge,Gross Charges,62735.3992052632
7,New York-Presbyterian Hospital,MSDRG,202,BRONCHITIS AND ASTHMA WITH CC/MCC,Gross Charge,Gross Charges,81316.106240989
7,New York-Presbyterian Hospital,MSDRG,203,BRONCHITIS AND ASTHMA WITHOUT CC/MCC,Gross Charge,Gross Charges,55857.8865280769
7,New York-Presbyterian Hospital,MSDRG,204,RESPIRATORY SIGNS AND SYMPTOMS,Gross Charge,Gross Charges,69001.9584589041
7,New York-Presbyterian Hospital,MSDRG,205,OTHER RESPIRATORY SYSTEM DIAGNOSES WITH MCC,Gross Charge,Gross Charges,259670.8274257143
7,New York-Presbyterian Hospital,MSDRG,206,OTHER RESPIRATORY SYSTEM DIAGNOSES WITHOUT MCC,Gross Charge,Gross Charges,101566.4071606383
7,New York-Presbyterian Hospital,MSDRG,207,RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT >96 HOURS,Gross Charge,Gross Charges,854736.0970186734
7,New York-Presbyterian Hospital,MSDRG,208,RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT <=96 HOURS,Gross Charge,Gross Charges,248497.0694539131
7,New York-Presbyterian Hospital,MSDRG,215,OTHER HEART ASSIST SYSTEM IMPLANT,Gross Charge,Gross Charges,561155.1043595747
7,New York-Presbyterian Hospital,MSDRG,216,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WITH MCC,Gross Charge,Gross Charges,637266.984921205
7,New York-Presbyterian Hospital,MSDRG,217,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WITH CC,Gross Charge,Gross Charges,345022.1698964286
7,New York-Presbyterian Hospital,MSDRG,218,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WITHOUT CC/MCC,Gross Charge,Gross Charges,281725.5911500001
7,New York-Presbyterian Hospital,MSDRG,219,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITH MCC,Gross Charge,Gross Charges,508339.0044250002
